[Name]
Series1Cp at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-9.03538242e-02, -6.23200119e-01
-9.02813822e-02, -6.64369583e-01
-9.02016163e-02, -6.26645565e-01
-9.00889114e-02, -5.42057037e-01
-9.00026411e-02, -4.82739210e-01
-8.98475647e-02, -3.92974764e-01
-8.97516534e-02, -3.35483998e-01
-8.95967856e-02, -2.55195975e-01
-8.95919353e-02, -2.57210493e-01
-8.88042301e-02, -3.01005125e-01
-8.67046714e-02, -3.90457571e-01
-8.49824473e-02, -4.10763144e-01
-8.26369077e-02, -3.62366974e-01
-7.84649849e-02, -2.21698046e-01
-7.38396570e-02, -1.30186737e-01
-6.83663711e-02, -8.99202824e-02
-6.82290345e-02, -8.98784623e-02
-6.57547712e-02, -9.42305028e-02
-6.27026781e-02, -1.14452913e-01
-6.02239259e-02, -1.42754108e-01
-5.84525429e-02, -1.71741530e-01
-5.71330823e-02, -2.61572063e-01
-5.64312711e-02, -2.72598267e-01
-5.57061359e-02, -2.02705950e-01
-5.52955307e-02, -1.65978312e-01
-5.49964234e-02, -1.49272799e-01
-5.49363196e-02, -1.50922015e-01
-5.47949597e-02, -1.50716081e-01
-5.46495132e-02, -1.51486665e-01
-5.44962510e-02, -1.51745752e-01
-5.43166474e-02, -1.50872767e-01
-5.40571027e-02, -1.48353159e-01
-5.37015386e-02, -1.44878864e-01
-5.32133132e-02, -1.44398019e-01
-5.25587723e-02, -1.46651432e-01
-5.23140654e-02, -1.46492064e-01
-4.90505546e-02, -1.47471711e-01
-4.09103781e-02, -1.51170105e-01
-3.45646702e-02, -1.55721605e-01
-2.63812207e-02, -1.65429622e-01
-2.05116794e-02, -1.71472520e-01
-1.66255012e-02, -1.71573028e-01
-1.40847946e-02, -1.70018941e-01
-1.06584104e-02, -1.66658312e-01
-8.92426167e-03, -1.65599957e-01
-6.46869326e-03, -1.67682976e-01
-5.59943961e-03, -1.62712455e-01
-4.76373825e-03, -1.92817613e-01
-4.13406314e-03, -2.11652979e-01
-3.87173891e-03, -2.32191116e-01
-3.46232322e-03, -2.27511570e-01
-3.38608446e-03, -1.63314387e-01
-3.26035917e-03, -1.42737761e-01
-3.07993428e-03, -1.21924192e-01
-3.06007173e-03, -1.20429195e-01
-2.93389778e-03, -1.11284316e-01
-2.73176096e-03, -9.88207906e-02
-2.44663400e-03, -8.39012712e-02
-2.18074117e-03, -7.09875524e-02
-1.72414631e-03, -5.13940975e-02
-1.49960513e-03, -4.32348438e-02
-1.38033787e-03, -3.90375219e-02
-6.60710561e-04, -2.05380637e-02
-1.44172547e-04, -1.43949091e-02
3.46131710e-04, -1.40176797e-02
5.01206669e-04, -1.50420070e-02
1.13787386e-03, -2.56012734e-02
1.69368193e-03, -4.13684994e-02
2.00282317e-03, -5.29503971e-02
2.41910061e-03, -7.14580864e-02
2.60646525e-03, -8.09537023e-02
2.84300884e-03, -9.45746005e-02
3.08516575e-03, -1.11987375e-01
3.25897965e-03, -1.32438704e-01
3.38925328e-03, -1.54995799e-01
3.46299633e-03, -2.17179120e-01
3.22704110e-03, -2.39613727e-01
2.99596880e-03, -2.01943368e-01
2.08892161e-03, -1.73142761e-01
1.62147928e-03, -1.60836279e-01
7.72981148e-04, -1.65419966e-01
-1.79260795e-03, -1.62880182e-01
-3.63995321e-03, -1.63574427e-01
-7.34876469e-03, -1.66799694e-01
-9.55154374e-03, -1.68392032e-01
-9.80456267e-03, -1.68569177e-01
-1.47005357e-02, -1.69085503e-01
-2.11932547e-02, -1.63717300e-01
-2.61180066e-02, -1.58811614e-01
-3.47588211e-02, -1.51792288e-01
-4.08398062e-02, -1.48235112e-01
-4.51560691e-02, -1.46455213e-01
-4.48264033e-02, -1.47644758e-01
-4.45610285e-02, -1.47161424e-01
-4.44786698e-02, -1.46933615e-01
-4.39713448e-02, -1.44503444e-01
-4.35334221e-02, -1.46404564e-01
-4.32420038e-02, -1.50240436e-01
-4.31277975e-02, -1.51957646e-01
-4.30648252e-02, -1.52899176e-01
-4.28478122e-02, -1.55384302e-01
-4.26634848e-02, -1.56403914e-01
-4.25432958e-02, -1.56567112e-01
-4.24676314e-02, -1.66086659e-01
-4.28965911e-02, -1.75372884e-01
-4.39756103e-02, -2.45541126e-01
-4.43087332e-02, -2.40792826e-01
-4.51428220e-02, -2.18510851e-01
-4.72006202e-02, -2.08495528e-01
-4.91003282e-02, -1.98269740e-01
-5.24043143e-02, -1.88044786e-01
-5.59520163e-02, -1.81244820e-01
-5.94067536e-02, -1.76525488e-01
-6.54033646e-02, -1.68470129e-01
-6.61413819e-02, -1.67523131e-01
-6.96107596e-02, -1.63119957e-01
-7.73755908e-02, -1.55846521e-01
-8.84171426e-02, -1.53267235e-01
-9.55442116e-02, -1.51829556e-01
-1.05397552e-01, -1.50052026e-01
-1.12506971e-01, -1.50131732e-01
-1.20521910e-01, -1.50601655e-01
-1.29056051e-01, -1.51036799e-01
-1.35641456e-01, -1.51311010e-01
-1.45616934e-01, -1.52619839e-01
-1.51476055e-01, -1.53789237e-01
-1.62200466e-01, -1.56383187e-01
-1.68429285e-01, -1.57230675e-01
-1.79531962e-01, -1.59940749e-01
-1.85632467e-01, -1.63604841e-01
-1.96483403e-01, -1.65983886e-01
-2.04534709e-01, -1.67128056e-01
-2.08009899e-01, -1.68179289e-01
-2.15144157e-01, -1.70247704e-01
-2.17765078e-01, -1.70602500e-01
-2.25965172e-01, -1.71296492e-01
-2.27258846e-01, -1.71247184e-01
-2.36667976e-01, -1.70805454e-01
-2.46736497e-01, -1.66778982e-01
-2.56896794e-01, -1.61584094e-01
-2.64002085e-01, -1.57365367e-01
-2.72322863e-01, -1.45919472e-01
-2.83113629e-01, -1.25223085e-01
-2.91145951e-01, -1.13107689e-01
-3.00541103e-01, -9.91156250e-02
-3.08936954e-01, -8.57237428e-02
-3.15608054e-01, -7.30364844e-02
-3.24554443e-01, -5.97101748e-02
-3.30548406e-01, -5.34910932e-02
-3.40378940e-01, -4.40293849e-02
-3.50617826e-01, -3.70881706e-02
-3.60961884e-01, -3.18325832e-02
-3.71302128e-01, -2.74178144e-02
-3.80653650e-01, -2.47967169e-02
-3.82930696e-01, -2.43831184e-02
-3.89621466e-01, -2.33530886e-02
-3.95114958e-01, -2.25220900e-02
-3.98536444e-01, -2.19722036e-02
-4.07330871e-01, -2.04143412e-02
-4.07348782e-01, -2.04119850e-02
-4.17544305e-01, -2.03663446e-02
-4.27921444e-01, -1.82953123e-02
-4.39328671e-01, -1.72026418e-02
-4.48306769e-01, -1.76164620e-02
-4.59484369e-01, -1.59295648e-02
-4.62283760e-01, -1.55604146e-02
-4.67677534e-01, -1.51943844e-02
-4.76621121e-01, -1.54991308e-02
-4.77651060e-01, -1.55239617e-02
-4.87684071e-01, -1.52493380e-02
-4.88259822e-01, -1.52288508e-02
-4.97242987e-01, -1.48872808e-02
-5.03779888e-01, -1.46544436e-02
-5.14257669e-01, -1.45957004e-02
-5.23661494e-01, -1.56656951e-02
-5.30578077e-01, -1.56063633e-02
-5.42651057e-01, -1.44511871e-02
-5.52988172e-01, -1.43616078e-02
-5.62516749e-01, -1.48964459e-02
-5.64002097e-01, -1.48979910e-02
-5.71108699e-01, -1.45237939e-02
-5.76484859e-01, -1.43732000e-02
-5.79595804e-01, -1.44424709e-02
-5.88607490e-01, -1.51138660e-02
-5.98974586e-01, -1.49795786e-02
-6.09467924e-01, -1.44698462e-02
-6.20188475e-01, -1.45942299e-02
-6.29558563e-01, -1.56261362e-02
-6.33086801e-01, -1.60997324e-02
-6.39052093e-01, -1.69030391e-02
-6.44711494e-01, -1.71866231e-02
-6.51930034e-01, -1.64706539e-02
-6.52582228e-01, -1.63611509e-02
-6.64262533e-01, -1.51585722e-02
-6.72121286e-01, -1.61745325e-02
-6.84196115e-01, -1.66679844e-02
-6.93483949e-01, -1.60920359e-02
-7.00303853e-01, -1.73761621e-02
-7.11706102e-01, -2.02315021e-02
-7.19640255e-01, -2.02419870e-02
-7.28094995e-01, -1.89030059e-02
-7.36170769e-01, -1.89025514e-02
-7.45884061e-01, -1.89849101e-02
-7.52745688e-01, -1.85836423e-02
-7.63529658e-01, -1.97221842e-02
-7.72320449e-01, -1.96657628e-02
-7.80038059e-01, -1.98166370e-02
-7.90994585e-01, -2.21761521e-02
-7.97089696e-01, -2.30791327e-02
-8.07923496e-01, -2.25594230e-02
-8.15143526e-01, -2.22443677e-02
-8.24549794e-01, -2.28446908e-02
-8.34904790e-01, -2.37939395e-02
-8.36289763e-01, -2.38401219e-02
-8.46320212e-01, -2.41665971e-02
-8.56461287e-01, -2.49810182e-02
-8.63750279e-01, -2.53046211e-02
-8.74660134e-01, -2.45331172e-02
-8.81271064e-01, -2.49933843e-02
-8.92118275e-01, -2.58297548e-02
-9.02951002e-01, -2.69382000e-02
-9.11273241e-01, -2.74248570e-02
-9.17300045e-01, -2.68133506e-02
-9.29175138e-01, -2.42418833e-02
-9.32870984e-01, -2.51508225e-02
-9.35579479e-01, -2.58451141e-02
-9.45886791e-01, -2.99462844e-02
-9.54150796e-01, -2.87954025e-02
-9.59814966e-01, -2.93748099e-02
-9.69683051e-01, -2.98532266e-02
-9.76426840e-01, -2.82114819e-02
-9.85007644e-01, -2.68962421e-02
-9.93800282e-01, -2.68601514e-02
-1.00302529e+00, -2.89738700e-02
-1.01055920e+00, -3.06085125e-02
-1.02138054e+00, -3.13841887e-02
-1.02785981e+00, -3.05106156e-02
-1.03873289e+00, -2.68803835e-02
-1.04593849e+00, -2.69962475e-02
-1.05656421e+00, -3.01616602e-02
-1.06262290e+00, -3.00525539e-02
-1.07279456e+00, -2.86234338e-02
-1.07483542e+00, -2.83005312e-02
-1.07866693e+00, -2.74675097e-02
-1.08908069e+00, -2.50491016e-02
-1.09645963e+00, -2.57009678e-02
-1.10435009e+00, -2.40690634e-02
-1.11267114e+00, -1.94616951e-02
-1.12184405e+00, -1.56714916e-02
-1.12934971e+00, -1.16324602e-02
-1.13919795e+00, -4.14854847e-03
-1.14955389e+00, 4.68093762e-03
-1.14966476e+00, 4.70667332e-03
-1.15789878e+00, 1.00760385e-02
-1.16241491e+00, 9.48090944e-03
-1.16889679e+00, 3.75614571e-03
-1.17928517e+00, -2.75512561e-02
-1.18491745e+00, -6.48211539e-02
-1.18544769e+00, -6.81355596e-02
-1.19388676e+00, -1.51694298e-01
-1.19994128e+00, -2.09521219e-01
-1.20407653e+00, -2.23058164e-01
-1.20922792e+00, -2.22545296e-01
-1.21203828e+00, -2.22021073e-01
-1.21652555e+00, -2.14531526e-01
-1.21786094e+00, -2.12028742e-01
-1.21776175e+00, -2.16216654e-01
-1.21774721e+00, -2.16073334e-01
-1.21768904e+00, -2.15589464e-01
-1.21743774e+00, -2.12973952e-01
-1.21718359e+00, -2.05096349e-01
-1.21694982e+00, -2.00342208e-01
-1.21678948e+00, -1.99812770e-01
-1.21666241e+00, -2.00818315e-01
-1.21656895e+00, -2.01586574e-01
-1.21649730e+00, -2.01567009e-01
-1.21641386e+00, -2.00223505e-01
-1.21644974e+00, -1.99742600e-01
-1.21649659e+00, -2.00043306e-01
-1.21668994e+00, -2.00256005e-01
-1.21688926e+00, -2.04315856e-01
-1.21718335e+00, -2.38330305e-01
-1.21749544e+00, -3.13485950e-01
-1.21791124e+00, -3.83989185e-01
-1.21898246e+00, -3.94003808e-01
-1.21984160e+00, -3.75982970e-01
-1.22140515e+00, -3.69879991e-01
-1.22201037e+00, -3.71645987e-01
-1.22239017e+00, -3.72763693e-01
-1.22359967e+00, -3.78629029e-01
-1.22428513e+00, -3.80011201e-01
-1.22687149e+00, -3.98980200e-01
-1.22813368e+00, -4.16363269e-01
-1.22873867e+00, -4.24488455e-01
-1.23225760e+00, -4.22854304e-01
-1.23530447e+00, -3.54894072e-01
-1.23957729e+00, -1.92319110e-01
-1.24348283e+00, -8.43499452e-02
-1.24746156e+00, -2.66604796e-02
-1.25060940e+00, -7.12771784e-04
-1.25481343e+00, 1.70563161e-02
-1.25836349e+00, 2.86368467e-02
-1.26036704e+00, 3.61026600e-02
-1.26369083e+00, 4.63612676e-02
-1.26679754e+00, 5.07533029e-02
-1.26939166e+00, 5.31110205e-02
-1.27221715e+00, 5.82314208e-02
-1.27466094e+00, 6.52731583e-02
-1.27839911e+00, 7.40604624e-02
-1.28071666e+00, 7.44877681e-02
-1.28382814e+00, 8.16468447e-02
-1.28617430e+00, 8.76576677e-02
-1.28973794e+00, 1.02768824e-01
-1.29210949e+00, 1.07603341e-01
-1.29575467e+00, 1.15833685e-01
-1.29929495e+00, 1.30418688e-01
-1.30294490e+00, 1.38816223e-01
-1.30416822e+00, 1.51347637e-01
-1.30544424e+00, 1.61927685e-01
-1.30672872e+00, 1.68710381e-01
-1.30949581e+00, 1.20316714e-01
-1.31400156e+00, 8.46376568e-02
-1.31877470e+00, 6.28369078e-02
-1.31941140e+00, 6.02339767e-02
-1.32670403e+00, 4.03746553e-02
-1.33692980e+00, 2.52531245e-02
-1.34094691e+00, 2.18633078e-02
-1.34365964e+00, 1.96336918e-02
-1.35731411e+00, 1.11134993e-02
-1.36646867e+00, 5.31996321e-03
-1.37767005e+00, 3.60685587e-03
-1.39210188e+00, 2.33132276e-03
-1.40746975e+00, -1.68244296e-03
-1.42299700e+00, -4.72701341e-03
-1.43820381e+00, -8.28990806e-03
-1.45265508e+00, -1.03283850e-02
-1.46468914e+00, -6.79895096e-03
-1.47706640e+00, -5.82052255e-03
-1.48916805e+00, -6.58672536e-03
-1.48982871e+00, -6.63699256e-03
-1.50570798e+00, -9.42923781e-03
-1.52169394e+00, -9.41099226e-03
-1.53791261e+00, -9.65273567e-03
-1.54969287e+00, -1.20679727e-02
-1.56341124e+00, -1.17396051e-02
-1.58015466e+00, -1.12020476e-02
-1.58140850e+00, -1.12581383e-02
-1.59281278e+00, -1.06661338e-02
-1.59803486e+00, -9.50508658e-03
-1.61228204e+00, -9.24121775e-03
-1.62872100e+00, -1.25404466e-02
-1.64492416e+00, -1.07592978e-02
-1.66100097e+00, -9.73637868e-03
-1.67682290e+00, -1.18816877e-02
-1.69205320e+00, -1.38067547e-02
-1.69263124e+00, -1.37251671e-02
-1.70527267e+00, -1.13776419e-02
-1.71244264e+00, -1.10318158e-02
-1.71741617e+00, -1.11021698e-02
-1.73161209e+00, -1.24363238e-02
-1.74764037e+00, -1.37366746e-02
-1.76362324e+00, -1.16847586e-02
-1.77872384e+00, -1.19257858e-02
-1.78079820e+00, -1.21830655e-02
-1.79117143e+00, -1.35519803e-02
-1.80263019e+00, -1.33661870e-02
-1.80312967e+00, -1.33646782e-02
-1.81835818e+00, -1.57096498e-02
-1.83288229e+00, -1.31478067e-02
-1.84794140e+00, -1.20665347e-02
-1.86409366e+00, -1.33857559e-02
-1.86511672e+00, -1.34006897e-02
-1.87729788e+00, -1.31619498e-02
-1.88693166e+00, -1.29576977e-02
-1.89036369e+00, -1.27106179e-02
-1.90528393e+00, -1.19180968e-02
-1.92113638e+00, -1.74130443e-02
-1.93703866e+00, -1.84332356e-02
-1.95304382e+00, -1.66975614e-02
-1.95324183e+00, -1.66839212e-02
-1.96450031e+00, -1.59501191e-02
-1.97730446e+00, -1.50802983e-02
-1.99349797e+00, -1.47381304e-02
-2.00965309e+00, -1.81116574e-02
