[Name]
Series 1 at /POLYLINE:Polyline1000

[Data]
Y [ m ],Pressure Coefficient
3.42752896e-02, -6.00760430e-03
2.51362380e-02, -3.79558327e-03
1.47095146e-02, -2.86967657e-03
4.41335514e-03, -4.13042307e-03
3.95138282e-03, -4.16898634e-03
-4.52176481e-03, -4.52620955e-03
-8.34086630e-03, -4.49156715e-03
-1.28671452e-02, -4.70241718e-03
-2.02139895e-02, -5.36938943e-03
-2.03298964e-02, -5.38914464e-03
-2.76843868e-02, -6.29089074e-03
-3.09821442e-02, -6.61248527e-03
-3.45014445e-02, -6.85935514e-03
-4.08965200e-02, -7.55673833e-03
-4.24133427e-02, -7.74422055e-03
-5.01217172e-02, -7.83335045e-03
-5.78351170e-02, -8.80368613e-03
-6.51067272e-02, -9.91291460e-03
-7.02322870e-02, -1.16635896e-02
-7.44505972e-02, -1.49333719e-02
-7.47770891e-02, -1.52198803e-02
-7.95248672e-02, -1.96992867e-02
-7.95331001e-02, -1.97082963e-02
-8.29152763e-02, -2.47705076e-02
-8.31472799e-02, -2.51052286e-02
-8.51142704e-02, -2.74335500e-02
-8.56057703e-02, -2.79431343e-02
-8.63004178e-02, -2.82795448e-02
-8.68013129e-02, -2.88818311e-02
-8.64154845e-02, -2.99273692e-02
-8.46959502e-02, -2.88822986e-02
-8.26884583e-02, -2.76828073e-02
-7.92576969e-02, -2.37581432e-02
-7.65414387e-02, -2.03651767e-02
-7.19656721e-02, -1.46600660e-02
-6.59338236e-02, -9.71695688e-03
-5.90047762e-02, -8.61083623e-03
-5.15230484e-02, -6.67770626e-03
-4.36712280e-02, -4.61015198e-03
-4.34663445e-02, -4.52709524e-03
-3.75709534e-02, -1.65866408e-03
-3.03441100e-02, 1.84783852e-03
-2.07009483e-02, 4.63351980e-03
-1.16669219e-02, 5.69424406e-03
-8.45542271e-03, 5.12515474e-03
-5.01996931e-03, 4.49172221e-03
3.60459206e-03, 3.73971695e-03
1.04749929e-02, 4.38643061e-03
1.97218265e-02, 4.42118943e-03
3.10068112e-02, 3.66143533e-03
3.95258963e-02, 1.73009501e-03
4.42802086e-02, -1.21382752e-03
4.60746661e-02, -2.45382800e-03
5.40796444e-02, -7.47671910e-03
6.18962236e-02, -1.24118254e-02
6.72342628e-02, -1.47890095e-02
7.08890334e-02, -1.71218049e-02
7.19694942e-02, -1.79487690e-02
7.66650066e-02, -2.08950844e-02
8.06180313e-02, -2.31943671e-02
8.29897523e-02, -2.46965140e-02
8.47402960e-02, -2.50412561e-02
8.63950178e-02, -2.46858485e-02
8.68295878e-02, -2.29515061e-02
8.60292614e-02, -1.93472020e-02
8.57893601e-02, -1.87372994e-02
8.46028775e-02, -1.62062384e-02
8.21987838e-02, -1.19227935e-02
7.81249776e-02, -9.02318861e-03
7.28795901e-02, -1.67276002e-02
6.68329522e-02, -2.80341767e-02
5.96834719e-02, -2.48226821e-02
5.15709072e-02, -1.49109904e-02
4.29826453e-02, -8.60988349e-03


