[Name]
Series 1 at /POLYLINE:Polyline 2

[Data]
Y [ m ],Pressure Coefficient
7.18554258e-02, -2.08735242e-02
6.94477931e-02, -2.59845760e-02
6.38791621e-02, -3.03092450e-02
6.34306818e-02, -3.01949698e-02
5.56002147e-02, -2.20772959e-02
5.03225066e-02, -1.59377642e-02
4.26043943e-02, -8.54619499e-03
3.46429311e-02, -4.87101078e-03
3.33455913e-02, -4.44872724e-03
2.65224241e-02, -3.25174397e-03
2.28965431e-02, -2.99784937e-03
1.71000510e-02, -2.20616907e-03
1.09784706e-02, -1.58034579e-03
7.29779433e-03, -1.39281037e-03
-4.05306637e-04, -2.16759392e-03
-3.02069169e-03, -2.52867257e-03
-1.02825640e-02, -3.22830258e-03
-1.41860154e-02, -3.45407007e-03
-1.89666934e-02, -3.44571145e-03
-2.65873298e-02, -4.10426315e-03
-3.73628289e-02, -5.44670876e-03
-4.50992584e-02, -6.63010962e-03
-4.77113500e-02, -6.98674750e-03
-5.01834229e-02, -7.38101965e-03
-5.76985441e-02, -8.78199376e-03
-6.50575832e-02, -9.97507479e-03
-6.66589141e-02, -1.02763511e-02
-6.91357478e-02, -1.08900294e-02
-7.49556571e-02, -1.54899312e-02
-7.97085539e-02, -2.06506830e-02
-8.30555484e-02, -2.58864909e-02
-8.32282454e-02, -2.62350719e-02
-8.50184783e-02, -2.95397379e-02
-8.57409388e-02, -3.08662318e-02
-8.62352401e-02, -3.10563408e-02
-8.66390541e-02, -3.09381858e-02
-8.68313164e-02, -3.00260484e-02
-8.62073302e-02, -2.99851540e-02
-8.46547857e-02, -2.97308397e-02
-8.28221962e-02, -2.84728799e-02
-7.89318234e-02, -2.39193607e-02
-7.55324960e-02, -1.89389661e-02
-6.87502250e-02, -1.12584699e-02
-6.28284961e-02, -8.37468728e-03
-5.99015430e-02, -7.23350979e-03
-5.65987229e-02, -5.87276137e-03
-5.04207276e-02, -3.33412457e-03
-4.97383140e-02, -3.06184217e-03
-4.13922891e-02, 4.81582625e-04
-3.20720598e-02, 3.38316895e-03
-2.23811530e-02, 5.88703435e-03
-1.43806431e-02, 7.11566117e-03
-8.40460882e-03, 8.82203691e-03
-7.17445277e-03, 9.05655604e-03
2.59891013e-03, 9.57669131e-03
1.38809253e-02, 9.00392421e-03
2.41213460e-02, 6.90729031e-03
2.54356749e-02, 6.61304127e-03
3.07156183e-02, 4.98243701e-03
4.01095413e-02, 1.78708590e-03
4.81960103e-02, -3.42811411e-03
5.37697710e-02, -7.14864535e-03
6.19216822e-02, -1.24737509e-02
6.64120167e-02, -1.45289358e-02
7.17342198e-02, -1.80278867e-02
7.68883675e-02, -2.16329154e-02
8.04947093e-02, -2.32473239e-02
8.23227689e-02, -2.38145981e-02
8.26775581e-02, -2.39743888e-02
8.55295211e-02, -2.51261014e-02
8.67087096e-02, -2.45884098e-02
8.67362320e-02, -2.22123042e-02
8.59288052e-02, -1.93459708e-02
8.54569823e-02, -1.82438977e-02
8.47623870e-02, -1.67695731e-02
8.24228898e-02, -1.26700541e-02
7.86794573e-02, -9.23708733e-03
7.44383484e-02, -1.53589630e-02


