[Name]
Series 1 at /POLYLINE:Polyline1000

[Data]
Z [ m ],Pressure Coefficient
1.83959872e-01, -6.00760430e-03
1.87231153e-01, -3.79558327e-03
1.89651832e-01, -2.86967657e-03
1.90791771e-01, -4.13042307e-03
1.90811425e-01, -4.16898634e-03
1.90751255e-01, -4.52620955e-03
1.90466404e-01, -4.49156715e-03
1.89933434e-01, -4.70241718e-03
1.88566655e-01, -5.36938943e-03
1.88539386e-01, -5.38914464e-03
1.86406434e-01, -6.29089074e-03
1.85215697e-01, -6.61248527e-03
1.83802679e-01, -6.85935514e-03
1.80728599e-01, -7.55673833e-03
1.79922208e-01, -7.74422055e-03
1.75087154e-01, -7.83335045e-03
1.68967396e-01, -8.80368613e-03
1.61696255e-01, -9.91291460e-03
1.55267239e-01, -1.16635896e-02
1.48966536e-01, -1.49333719e-02
1.48436308e-01, -1.52198803e-02
1.39277652e-01, -1.96992867e-02
1.39259189e-01, -1.97082963e-02
1.30227000e-01, -2.47705076e-02
1.29476488e-01, -2.51052286e-02
1.21711686e-01, -2.74335500e-02
1.19026482e-01, -2.79431343e-02
1.14021190e-01, -2.82795448e-02
1.06377326e-01, -2.88818311e-02
9.62083787e-02, -2.99273692e-02
8.54328796e-02, -2.88822986e-02
7.81051069e-02, -2.76828073e-02
6.92111254e-02, -2.37581432e-02
6.36288971e-02, -2.03651767e-02
5.60747832e-02, -1.46600660e-02
4.82375249e-02, -9.71695688e-03
4.10762057e-02, -8.61083623e-03
3.49326059e-02, -6.67770626e-03
2.98174731e-02, -4.61015198e-03
2.97041591e-02, -4.52709524e-03
2.66556628e-02, -1.65866408e-03
2.35850643e-02, 1.84783852e-03
2.06140783e-02, 4.63351980e-03
1.89233236e-02, 5.69424406e-03
1.85790993e-02, 5.12515474e-03
1.82804391e-02, 4.49172221e-03
1.82073116e-02, 3.73971695e-03
1.87745839e-02, 4.38643061e-03
2.04176474e-02, 4.42118943e-03
2.38702372e-02, 3.66143533e-03
2.76488476e-02, 1.73009501e-03
3.02662458e-02, -1.21382752e-03
3.13200355e-02, -2.45382800e-03
3.69341858e-02, -7.47671910e-03
4.39196043e-02, -1.24118254e-02
4.98903394e-02, -1.47890095e-02
5.46594560e-02, -1.71218049e-02
5.61839342e-02, -1.79487690e-02
6.39014542e-02, -2.08950844e-02
7.23410994e-02, -2.31943671e-02
7.90536255e-02, -2.46965140e-02
8.55873674e-02, -2.50412561e-02
9.58526731e-02, -2.46858485e-02
1.06142730e-01, -2.29515061e-02
1.16432518e-01, -1.93472020e-02
1.17913336e-01, -1.87372994e-02
1.24005824e-01, -1.62062384e-02
1.32506639e-01, -1.19227935e-02
1.42327785e-01, -9.02318861e-03
1.51589260e-01, -1.67276002e-02
1.59712523e-01, -2.80341767e-02
1.67290077e-01, -2.48226821e-02
1.74070507e-01, -1.49109904e-02
1.79636627e-01, -8.60988349e-03


