[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Y [ m ],Pressure Coefficient
6.42456859e-02, -3.18951964e-01
6.60647303e-02, -3.35938513e-01
6.80949092e-02, -3.54336560e-01
6.89693168e-02, -3.61469507e-01
7.02690482e-02, -3.70068252e-01
7.08934814e-02, -3.73975217e-01
7.18410909e-02, -3.80922109e-01
7.28641376e-02, -3.90129328e-01
7.48668909e-02, -3.97554785e-01
7.64423162e-02, -3.97787839e-01
7.66607150e-02, -3.96792442e-01
7.73859471e-02, -3.95255089e-01
7.80356228e-02, -3.93044412e-01
7.81200007e-02, -3.93078536e-01
7.93972239e-02, -3.88204277e-01
7.97354579e-02, -3.85199785e-01
8.03186744e-02, -3.79336298e-01
8.12925771e-02, -3.63567591e-01
8.20281059e-02, -3.45393479e-01
8.23253840e-02, -3.33786011e-01
8.25753510e-02, -3.21241975e-01
8.26730356e-02, -3.14855248e-01
8.28590840e-02, -2.94211686e-01
8.26733485e-02, -2.68844008e-01
8.23836550e-02, -2.56991982e-01
8.17409530e-02, -2.44185448e-01
8.09312761e-02, -2.38024950e-01
8.02114010e-02, -2.37781256e-01
8.00714269e-02, -2.37774670e-01
7.94598311e-02, -2.36738041e-01
7.87525997e-02, -2.34851256e-01
7.83393830e-02, -2.32829526e-01
7.80409724e-02, -2.30365485e-01
7.76912421e-02, -2.25201547e-01
7.74268061e-02, -2.18712598e-01
7.73671344e-02, -2.16751054e-01
7.72190541e-02, -2.10450888e-01
7.70787224e-02, -1.99669331e-01
7.70181715e-02, -1.90926731e-01
7.76247978e-02, -1.76231101e-01
7.82984570e-02, -1.62743658e-01
7.93966651e-02, -1.41527459e-01
8.05274844e-02, -1.22867763e-01
8.17903280e-02, -1.05307490e-01
8.30718800e-02, -9.11704302e-02
8.41640905e-02, -7.93904439e-02
8.57436210e-02, -6.38096333e-02
8.66065919e-02, -5.45838401e-02
8.68693963e-02, -5.07498123e-02
8.66131857e-02, -4.75986116e-02
8.52919221e-02, -4.33706194e-02
8.28178599e-02, -3.76149155e-02
7.90604651e-02, -3.05410512e-02
7.46448115e-02, -2.36267038e-02
7.36540779e-02, -2.23595817e-02
7.00645149e-02, -1.85118672e-02
6.37828335e-02, -1.59269180e-02
5.82240000e-02, -1.43025145e-02
4.96234931e-02, -8.94140173e-03
4.10959907e-02, -9.41876555e-04
3.20559628e-02, 3.30941263e-03
2.97259130e-02, 3.98385804e-03
2.48558708e-02, 5.17693954e-03
1.58761367e-02, 7.47525040e-03
5.30824019e-03, 9.15791839e-03
-4.60395403e-03, 8.07719026e-03
-5.73885581e-03, 8.00389610e-03
-1.55184632e-02, 7.96867907e-03
-2.42010355e-02, 6.86846673e-03
-3.22493054e-02, 4.47214581e-03
-4.09670249e-02, 9.39558726e-04
-4.69622463e-02, -2.80248630e-03
-5.49885482e-02, -7.16979196e-03
-6.04733378e-02, -1.03392508e-02
-6.68976158e-02, -1.53369121e-02
-7.16704577e-02, -1.83842760e-02
-7.65856802e-02, -2.11584046e-02
-8.01805854e-02, -2.37772465e-02
-8.33605155e-02, -2.68763863e-02
-8.51483494e-02, -2.87369080e-02
-8.66142139e-02, -3.11523676e-02
-8.67837071e-02, -3.18786278e-02
-8.60876590e-02, -3.14444751e-02
-8.42090622e-02, -2.91889925e-02
-8.23078901e-02, -2.74939835e-02
-7.90285617e-02, -2.50704959e-02
-7.39792734e-02, -2.20413208e-02
-7.34542459e-02, -2.17786226e-02
-7.03611225e-02, -2.02362668e-02
-6.39332682e-02, -1.74038913e-02
-5.74042574e-02, -1.57649294e-02
-5.15219383e-02, -1.55216400e-02
-4.20886949e-02, -1.60900205e-02
-3.89500596e-02, -1.62693374e-02
-3.62411663e-02, -1.64114051e-02
-2.43774839e-02, -1.88983716e-02
-1.40058128e-02, -2.36876998e-02
-3.31707997e-03, -3.12111527e-02
6.87902141e-03, -4.45205010e-02
1.40888160e-02, -5.79157062e-02
1.66452806e-02, -6.43713102e-02
1.92867871e-02, -7.15371370e-02
2.52086222e-02, -9.25554335e-02
2.66162101e-02, -9.85214710e-02
2.93854959e-02, -1.11418918e-01
3.04840021e-02, -1.17378287e-01
3.34474929e-02, -1.36688843e-01
3.60570811e-02, -1.58967584e-01
3.76796648e-02, -1.76264882e-01
3.94806676e-02, -1.95167109e-01
4.04596068e-02, -2.07428306e-01
4.12798598e-02, -2.15525761e-01
4.32432555e-02, -2.30184779e-01
4.50883359e-02, -2.39414454e-01
4.52878252e-02, -2.40269110e-01
4.73812111e-02, -2.47333437e-01
4.87036146e-02, -2.49983341e-01
5.04793376e-02, -2.53978521e-01
5.22195809e-02, -2.56056905e-01
5.39267622e-02, -2.58591652e-01
5.56745082e-02, -2.62086093e-01
5.68458326e-02, -2.67142475e-01
5.87110519e-02, -2.76852876e-01
6.04405999e-02, -2.87250847e-01
6.23194426e-02, -3.02371144e-01


