[Name]
Series 1 at /POLYLINE:Polylinecp1000

[Data]
Z [ m ],Pressure Coefficient
1.74943432e-01, -1.70105677e-02
1.80076510e-01, -9.25544091e-03
1.83918089e-01, -6.06228877e-03
1.87053323e-01, -4.26250836e-03
1.89342797e-01, -3.53948958e-03
1.90538064e-01, -3.12875398e-03
1.90721571e-01, -3.34116537e-03
1.90859377e-01, -3.28937476e-03
1.90534085e-01, -3.34712770e-03
1.90416783e-01, -3.28463945e-03
1.88806623e-01, -3.68369836e-03
1.85638204e-01, -4.82050981e-03
1.81100607e-01, -5.31869009e-03
1.76800460e-01, -6.54313713e-03
1.72152951e-01, -7.51381135e-03
1.64689958e-01, -9.45182145e-03
1.59270614e-01, -1.11077093e-02
1.51169986e-01, -1.48840919e-02
1.41622931e-01, -1.92688126e-02
1.38128668e-01, -2.07767617e-02
1.33828670e-01, -2.27084346e-02
1.26270682e-01, -2.59400122e-02
1.23572573e-01, -2.70154867e-02
1.16209626e-01, -2.94163879e-02
1.14893466e-01, -2.96884831e-02
1.05401404e-01, -3.04817129e-02
9.49062854e-02, -3.02376002e-02
8.46047699e-02, -2.87835374e-02
7.61747435e-02, -2.72511169e-02
7.22475275e-02, -2.56409124e-02
6.83189780e-02, -2.34132223e-02
6.06409609e-02, -1.86210033e-02
5.23345843e-02, -1.27249863e-02
4.73933592e-02, -1.08655179e-02
3.95311713e-02, -6.62241038e-03
3.25932726e-02, -6.11438241e-04
2.68772896e-02, 2.84430198e-03
2.26115026e-02, 5.81588456e-03
2.04218589e-02, 7.62970187e-03
1.86603107e-02, 8.85089114e-03
1.82329621e-02, 8.07551108e-03
1.81841198e-02, 7.77531415e-03
1.83316562e-02, 7.07084872e-03
1.92616209e-02, 6.74614310e-03
2.09275261e-02, 7.13948254e-03
2.34575644e-02, 4.75152070e-03
2.74032857e-02, 5.74327016e-04
3.04131303e-02, -1.51620712e-03
3.61653566e-02, -7.00649060e-03
4.26671281e-02, -1.28533673e-02
5.09434305e-02, -1.59580726e-02
5.61762713e-02, -1.71499457e-02
6.48315102e-02, -2.09770836e-02
7.46074468e-02, -2.37473175e-02
7.48978406e-02, -2.38049123e-02
8.30616727e-02, -2.54845880e-02
8.74328986e-02, -2.64974330e-02
9.08438414e-02, -2.65295599e-02
9.97894108e-02, -2.62778569e-02
1.09992996e-01, -2.36939248e-02
1.20040409e-01, -1.95168182e-02
1.28803462e-01, -1.62638221e-02
1.29299089e-01, -1.60422586e-02
1.35795698e-01, -1.26723833e-02
1.38112724e-01, -1.17536560e-02
1.43163010e-01, -1.21285636e-02
1.47830307e-01, -1.51285175e-02
1.49786010e-01, -1.72351021e-02
1.57157972e-01, -2.82651018e-02
1.64776623e-01, -3.13615650e-02
1.70632154e-01, -2.34537721e-02
1.74823239e-01, -1.72020979e-02


