[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
Curve Length on Polyline 1 [ m ],Pressure Coefficient
5.74477434e-01, -3.18951964e-01
1.84201426e-03, -3.35938513e-01
3.93303670e-03, -3.54336560e-01
4.85315546e-03, -3.61469507e-01
6.24646712e-03, -3.70068252e-01
6.93126675e-03, -3.73975217e-01
7.99024384e-03, -3.80922109e-01
9.16249026e-03, -3.90129328e-01
1.15944408e-02, -3.97554785e-01
1.36867482e-02, -3.97787839e-01
1.39921755e-02, -3.96792442e-01
1.50286965e-02, -3.95255089e-01
1.60073973e-02, -3.93044412e-01
1.61385015e-02, -3.93078536e-01
1.82419829e-02, -3.88204277e-01
1.88588463e-02, -3.85199785e-01
1.99733358e-02, -3.79336298e-01
2.21526679e-02, -3.63567591e-01
2.42735185e-02, -3.45393479e-01
2.53926944e-02, -3.33786011e-01
2.65919324e-02, -3.21241975e-01
2.71887854e-02, -3.14855248e-01
2.94453762e-02, -2.94211686e-01
3.22320797e-02, -2.68844008e-01
3.37282233e-02, -2.56991982e-01
3.58034410e-02, -2.44185448e-01
3.77741456e-02, -2.38024950e-01
3.94635685e-02, -2.37781256e-01
3.98037359e-02, -2.37774670e-01
4.13923748e-02, -2.36738041e-01
4.34852354e-02, -2.34851256e-01
4.49216068e-02, -2.32829526e-01
4.60962206e-02, -2.30365485e-01
4.77251224e-02, -2.25201547e-01
4.92384546e-02, -2.18712598e-01
4.96397652e-02, -2.16751054e-01
5.08298688e-02, -2.10450888e-01
5.24693429e-02, -1.99669331e-01
5.34640886e-02, -1.90926731e-01
5.48019856e-02, -1.76231101e-01
5.63256294e-02, -1.62743658e-01
5.89349605e-02, -1.41527459e-01
6.18286617e-02, -1.22867763e-01
6.53938428e-02, -1.05307490e-01
6.94713071e-02, -9.11704302e-02
7.36048073e-02, -7.93904439e-02
8.16678181e-02, -6.38096333e-02
8.93893242e-02, -5.45838401e-02
9.49615315e-02, -5.07498123e-02
1.02582023e-01, -4.75986116e-02
1.12233318e-01, -4.33706194e-02
1.22392923e-01, -3.76149155e-02
1.32899001e-01, -3.05410512e-02
1.42509237e-01, -2.36267038e-02
1.44417226e-01, -2.23595817e-02
1.50914773e-01, -1.85118672e-02
1.60939440e-01, -1.59269180e-02
1.68898284e-01, -1.43025145e-02
1.79967463e-01, -8.94140173e-03
1.90069735e-01, -9.41876555e-04
2.00131044e-01, 3.30941263e-03
2.02637032e-01, 3.98385804e-03
2.07825154e-01, 5.17693954e-03
2.17139453e-01, 7.47525040e-03
2.27857590e-01, 9.15791839e-03
2.37825602e-01, 8.07719026e-03
2.38968343e-01, 8.00389610e-03
2.48860911e-01, 7.96867907e-03
2.57805258e-01, 6.86846673e-03
2.66343147e-01, 4.47214581e-03
2.75958300e-01, 9.39558726e-04
2.82902151e-01, -2.80248630e-03
2.92822033e-01, -7.16979196e-03
3.00163895e-01, -1.03392508e-02
3.09627533e-01, -1.53369121e-02
3.17579448e-01, -1.83842760e-02
3.27071965e-01, -2.11584046e-02
3.35476786e-01, -2.37772465e-02
3.45153093e-01, -2.68763863e-02
3.52739781e-01, -2.87369080e-02
3.63960356e-01, -3.11523676e-02
3.71742010e-01, -3.18786278e-02
3.81184787e-01, -3.14444751e-02
3.91609192e-01, -2.91889925e-02
3.98191929e-01, -2.74939835e-02
4.07229990e-01, -2.50704959e-02
4.18107659e-01, -2.20413208e-02
4.19072151e-01, -2.17786226e-02
4.24675316e-01, -2.02362668e-02
4.34936374e-01, -1.74038913e-02
4.44158673e-01, -1.57649294e-02
4.51799810e-01, -1.55216400e-02
4.63141590e-01, -1.60900205e-02
4.66682017e-01, -1.62693374e-02
4.69733864e-01, -1.64114051e-02
4.82517987e-01, -1.88983716e-02
4.93237019e-01, -2.36876998e-02
5.04051626e-01, -3.12111527e-02
5.14304161e-01, -4.45205010e-02
5.21592557e-01, -5.79157062e-02
5.24199545e-01, -6.43713102e-02
5.26901186e-01, -7.15371370e-02
5.33037126e-01, -9.25554335e-02
5.34514785e-01, -9.85214710e-02
5.37439764e-01, -1.11418918e-01
5.38610756e-01, -1.17378287e-01
5.41798592e-01, -1.36688843e-01
5.44647634e-01, -1.58967584e-01
5.46440840e-01, -1.76264882e-01
5.48451602e-01, -1.95167109e-01
5.49551368e-01, -2.07428306e-01
5.50378323e-01, -2.15525761e-01
5.52362382e-01, -2.30184779e-01
5.54239333e-01, -2.39414454e-01
5.54443061e-01, -2.40269110e-01
5.56595385e-01, -2.47333437e-01
5.57972133e-01, -2.49983341e-01
5.59846222e-01, -2.53978521e-01
5.61717451e-01, -2.56056905e-01
5.63592851e-01, -2.58591652e-01
5.65552115e-01, -2.62086093e-01
5.66853881e-01, -2.67142475e-01
5.68854153e-01, -2.76852876e-01
5.70637226e-01, -2.87250847e-01
5.72540581e-01, -3.02371144e-01


