[Name]
Series 1 at Polyline1000

[Data]
Z [ m ],Pressure Coefficient
1.87949449e-01, -4.69481945e-03
1.86745167e-01, -4.95776534e-03
1.83317170e-01, -5.02203172e-03
1.78018481e-01, -4.67544049e-03
1.73256129e-01, -4.90369694e-03
1.66687548e-01, -6.34687021e-03
1.61371067e-01, -9.41398088e-03
1.52831376e-01, -1.35700293e-02
1.47858515e-01, -1.57140605e-02
1.38705209e-01, -1.93959102e-02
1.29346788e-01, -2.29260121e-02
1.22805253e-01, -2.41836421e-02
1.11129530e-01, -2.77987793e-02
1.09442241e-01, -2.81314347e-02
1.04931742e-01, -2.91728936e-02
9.45567042e-02, -3.05407234e-02
8.67184997e-02, -3.07385549e-02
8.03915411e-02, -2.96585485e-02
8.02880377e-02, -2.96398923e-02
7.18571916e-02, -2.81659439e-02
6.34607971e-02, -2.52458807e-02
5.58354855e-02, -2.12930962e-02
4.87000272e-02, -1.65245887e-02
4.17519100e-02, -1.10166352e-02
3.54445279e-02, -7.38634216e-03
3.01147532e-02, -5.01304213e-03
2.59915404e-02, -3.04295449e-03
2.26766169e-02, 3.57033731e-03
2.01479662e-02, 8.87775235e-03
1.86960138e-02, 1.02110673e-02
1.85531098e-02, 1.00899599e-02
1.82006862e-02, 9.30730533e-03
1.83256809e-02, 8.94611888e-03
1.84799228e-02, 8.83344561e-03
1.98386125e-02, 8.80736578e-03
1.98442247e-02, 8.80392920e-03
2.25849394e-02, 5.88163361e-03
2.61390656e-02, 2.91803549e-03
3.05669606e-02, 1.57290284e-04
3.44050080e-02, -2.66785594e-03
4.12103571e-02, -6.98362384e-03
4.69916351e-02, -9.86638106e-03
5.30550480e-02, -1.33193582e-02
6.15258031e-02, -2.06197333e-02
6.33628294e-02, -2.24971846e-02
6.65803999e-02, -2.54874174e-02
7.49014318e-02, -3.10266204e-02
8.33931416e-02, -3.19115892e-02
9.27627832e-02, -3.03875599e-02
1.02753252e-01, -2.81540006e-02
1.13085009e-01, -2.48539206e-02
1.22906595e-01, -2.19028629e-02
1.24643214e-01, -2.15049051e-02
1.34755209e-01, -1.93271469e-02
1.44863158e-01, -1.62646193e-02
1.51374578e-01, -1.43867163e-02
1.58888161e-01, -1.18669104e-02
1.65768430e-01, -9.87199508e-03
1.70285061e-01, -8.30936804e-03
1.76831305e-01, -6.93085417e-03
1.79872766e-01, -6.87549589e-03
1.84737712e-01, -6.11994043e-03
1.87172472e-01, -5.29410457e-03
1.89617395e-01, -3.11154593e-03
1.90822914e-01, -1.98695878e-03
1.90389231e-01, -3.06467689e-03
1.88800186e-01, -4.52127168e-03


