[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-9.03546587e-02, -6.11170530e-01
-9.02806520e-02, -6.42461777e-01
-9.02014002e-02, -5.95556378e-01
-9.00873840e-02, -5.05564034e-01
-9.00015905e-02, -4.49049234e-01
-8.98485854e-02, -3.74584496e-01
-8.97513330e-02, -3.31782013e-01
-8.95975083e-02, -2.79058486e-01
-8.95930231e-02, -2.89694428e-01
-8.86465311e-02, -3.31366539e-01
-8.59304219e-02, -4.11404163e-01
-8.39609206e-02, -3.93945932e-01
-8.17108005e-02, -3.38302463e-01
-7.92280808e-02, -2.71190137e-01
-7.51021877e-02, -1.67307690e-01
-7.21892715e-02, -1.18904889e-01
-6.81553930e-02, -9.77782607e-02
-6.78156689e-02, -9.75701213e-02
-6.56244084e-02, -1.01897962e-01
-6.18077591e-02, -1.22349627e-01
-5.95459007e-02, -1.53011248e-01
-5.85628301e-02, -1.73420370e-01
-5.81768490e-02, -1.81629255e-01
-5.71324602e-02, -2.71064848e-01
-5.64275905e-02, -2.83760846e-01
-5.57055324e-02, -2.11539447e-01
-5.52966446e-02, -1.70711726e-01
-5.49958199e-02, -1.49905518e-01
-5.49424514e-02, -1.52020156e-01
-5.48004434e-02, -1.51393116e-01
-5.47829941e-02, -1.51559547e-01
-5.46590462e-02, -1.52770102e-01
-5.46068624e-02, -1.53065786e-01
-5.44947460e-02, -1.53256923e-01
-5.42909205e-02, -1.52514502e-01
-5.40994033e-02, -1.50631890e-01
-5.38164489e-02, -1.47161722e-01
-5.35549298e-02, -1.45348504e-01
-5.31864613e-02, -1.45349383e-01
-5.25500700e-02, -1.47845328e-01
-5.23135588e-02, -1.47666335e-01
-4.91808653e-02, -1.48724750e-01
-4.14818078e-02, -1.52130336e-01
-3.51195112e-02, -1.56401426e-01
-2.81555653e-02, -1.64399028e-01
-2.13123765e-02, -1.73064947e-01
-1.70050208e-02, -1.74401075e-01
-1.41399149e-02, -1.72606975e-01
-1.07415160e-02, -1.69266999e-01
-8.98866914e-03, -1.68022186e-01
-6.49420684e-03, -1.70403779e-01
-5.59937814e-03, -1.64977208e-01
-4.76325536e-03, -1.94371849e-01
-4.13401891e-03, -2.13310957e-01
-3.87184322e-03, -2.34047726e-01
-3.46228527e-03, -2.28853762e-01
-3.38941673e-03, -1.63981363e-01
-3.25417030e-03, -1.41806096e-01
-3.12538818e-03, -1.25498518e-01
-2.90252641e-03, -1.09425291e-01
-2.70094071e-03, -9.73167941e-02
-2.41803261e-03, -8.26458409e-02
-2.17176601e-03, -7.10843056e-02
-1.82983861e-03, -5.63548915e-02
-1.20711070e-03, -3.46656106e-02
-5.62778267e-04, -2.00363956e-02
-1.22384896e-04, -1.47784948e-02
5.59661479e-04, -1.62809361e-02
1.02732319e-03, -2.38804594e-02
1.63464190e-03, -3.99790443e-02
2.09101127e-03, -5.72464913e-02
2.44953856e-03, -7.34154209e-02
2.70380219e-03, -8.64469707e-02
2.87476252e-03, -9.67418030e-02
3.09134927e-03, -1.12410858e-01
3.26053216e-03, -1.32859081e-01
3.38979182e-03, -1.53066829e-01
3.46217677e-03, -2.19217092e-01
3.22693167e-03, -2.34860033e-01
2.99593620e-03, -2.04570845e-01
2.08878936e-03, -1.73687413e-01
1.62191375e-03, -1.60910547e-01
7.56686553e-04, -1.66764095e-01
-2.11005635e-03, -1.63410068e-01
-4.12438251e-03, -1.64226055e-01
-7.42692919e-03, -1.67170674e-01
-1.05851758e-02, -1.69529438e-01
-1.57327894e-02, -1.69994026e-01
-2.18605623e-02, -1.64408967e-01
-2.66406499e-02, -1.59602404e-01
-3.49356011e-02, -1.53132945e-01
-4.09975573e-02, -1.49807736e-01
-4.51555662e-02, -1.47837669e-01
-4.48284596e-02, -1.49316907e-01
-4.45489176e-02, -1.48876712e-01
-4.44822535e-02, -1.48700312e-01
-4.39683050e-02, -1.46815926e-01
-4.35152799e-02, -1.49541482e-01
-4.32072133e-02, -1.53612018e-01
-4.30345312e-02, -1.55896738e-01
-4.28580828e-02, -1.57547176e-01
-4.26687598e-02, -1.58084869e-01
-4.25434485e-02, -1.58329487e-01
-4.24671695e-02, -1.67272568e-01
-4.28976417e-02, -1.78300947e-01
-4.39762883e-02, -2.48853803e-01
-4.43082526e-02, -2.42122099e-01
-4.50429134e-02, -2.18923226e-01
-4.73092459e-02, -2.06724569e-01
-4.94647622e-02, -1.97566301e-01
-5.08960634e-02, -1.92496449e-01
-5.19211590e-02, -1.89597726e-01
-5.59037998e-02, -1.82997674e-01
-5.93799092e-02, -1.77550375e-01
-6.42943308e-02, -1.68682486e-01
-7.00678453e-02, -1.61617190e-01
-7.84441829e-02, -1.55628219e-01
-8.68620276e-02, -1.54005840e-01
-9.53799263e-02, -1.52873963e-01
-1.06519818e-01, -1.48456007e-01
-1.16644517e-01, -1.48388118e-01
-1.19606435e-01, -1.48838073e-01
-1.23675287e-01, -1.49395555e-01
-1.33142054e-01, -1.51934177e-01
-1.42323822e-01, -1.53215125e-01
-1.48851514e-01, -1.53492242e-01
-1.58108801e-01, -1.55177683e-01
-1.66560814e-01, -1.56874537e-01
-1.74501359e-01, -1.57823235e-01
-1.84301376e-01, -1.59736410e-01
-1.92124024e-01, -1.63037688e-01
-2.02420682e-01, -1.67938814e-01
-2.11534381e-01, -1.70139670e-01
-2.15436786e-01, -1.70716077e-01
-2.21583381e-01, -1.71280995e-01
-2.26491913e-01, -1.71694875e-01
-2.31832892e-01, -1.71563625e-01
-2.37432897e-01, -1.70815587e-01
-2.42172211e-01, -1.69070721e-01
-2.48590469e-01, -1.64653301e-01
-2.52582610e-01, -1.61291331e-01
-2.59777784e-01, -1.56029806e-01
-2.63648689e-01, -1.53557658e-01
-2.66866416e-01, -1.51750520e-01
-2.76637197e-01, -1.39107838e-01
-2.79468387e-01, -1.34596884e-01
-2.82399833e-01, -1.30263612e-01
-2.90731758e-01, -1.14362761e-01
-3.01463544e-01, -9.58901346e-02
-3.10541183e-01, -8.26502815e-02
-3.16862226e-01, -7.02417269e-02
-3.24613452e-01, -6.01790436e-02
-3.31867218e-01, -5.23246229e-02
-3.41576576e-01, -4.32754904e-02
-3.51472944e-01, -3.68527174e-02
-3.52580249e-01, -3.61641124e-02
-3.58664900e-01, -3.27040665e-02
-3.67714584e-01, -2.90452465e-02
-3.79758954e-01, -2.57384107e-02
-3.90348196e-01, -2.29600575e-02
-4.01330620e-01, -2.08800044e-02
-4.07860994e-01, -1.93736665e-02
-4.15257454e-01, -1.91030502e-02
-4.24083114e-01, -1.98032074e-02
-4.32276815e-01, -1.91855468e-02
-4.40530419e-01, -1.67704392e-02
-4.49602246e-01, -1.55692976e-02
-4.57142055e-01, -1.51530989e-02
-4.64056849e-01, -1.58229396e-02
-4.74127233e-01, -1.53163997e-02
-4.83196706e-01, -1.48964701e-02
-4.84785140e-01, -1.50530683e-02
-4.92606372e-01, -1.57195162e-02
-4.94951069e-01, -1.58477537e-02
-5.00860810e-01, -1.56699419e-02
-5.06714761e-01, -1.49911446e-02
-5.08429289e-01, -1.48142772e-02
-5.17383754e-01, -1.48909464e-02
-5.27164102e-01, -1.52266510e-02
-5.37105441e-01, -1.48115661e-02
-5.45927823e-01, -1.39933387e-02
-5.49649119e-01, -1.39312930e-02
-5.53597867e-01, -1.39930937e-02
-5.62558413e-01, -1.43518467e-02
-5.72947979e-01, -1.53587703e-02
-5.83318293e-01, -1.34776924e-02
-5.94565928e-01, -1.41947865e-02
-6.06341600e-01, -1.66770406e-02
-6.16487265e-01, -1.53488722e-02
-6.25713587e-01, -1.50211668e-02
-6.27462089e-01, -1.49997082e-02
-6.34264112e-01, -1.54510699e-02
-6.38935685e-01, -1.60815082e-02
-6.42513394e-01, -1.62781272e-02
-6.50525510e-01, -1.57662407e-02
-6.61832571e-01, -1.73022412e-02
-6.69206142e-01, -1.75628457e-02
-6.78078771e-01, -1.49411317e-02
-6.87978745e-01, -1.54246790e-02
-6.89775229e-01, -1.58584472e-02
-6.98417664e-01, -1.73453558e-02
-7.00797200e-01, -1.78046599e-02
-7.10285306e-01, -1.92378331e-02
-7.19041884e-01, -1.90707222e-02
-7.28668392e-01, -2.07909308e-02
-7.36761153e-01, -1.92922205e-02
-7.45317996e-01, -1.76216550e-02
-7.56143868e-01, -2.03351006e-02
-7.65628219e-01, -2.01298874e-02
-7.69125164e-01, -2.01408304e-02
-7.73916483e-01, -2.03973930e-02
-7.82892048e-01, -2.06317380e-02
-7.90360093e-01, -1.95760392e-02
-7.98788965e-01, -2.11099014e-02
-8.09258223e-01, -2.47536730e-02
-8.15159917e-01, -2.40691137e-02
-8.25914323e-01, -2.08199732e-02
-8.37002754e-01, -2.45189648e-02
-8.37204337e-01, -2.45948080e-02
-8.47737014e-01, -2.54479684e-02
-8.57896447e-01, -2.48361733e-02
-8.68000269e-01, -2.51092911e-02
-8.78205776e-01, -2.50686258e-02
-8.88595223e-01, -2.57554650e-02
-8.97749186e-01, -2.65130065e-02
-9.02353525e-01, -2.62065046e-02
-9.05944884e-01, -2.54023764e-02
-9.16032851e-01, -2.52200142e-02
-9.27809954e-01, -2.59241872e-02
-9.39945519e-01, -2.58723758e-02
-9.51138020e-01, -3.00723743e-02
-9.57641900e-01, -3.02841924e-02
-9.66453433e-01, -2.87149921e-02
-9.76096332e-01, -2.81325560e-02
-9.86433446e-01, -3.01325638e-02
-9.93557453e-01, -3.13996039e-02
-1.00225997e+00, -3.04474086e-02
-1.01502681e+00, -2.88972612e-02
-1.01971436e+00, -2.89190300e-02
-1.02182853e+00, -2.88967807e-02
-1.03422940e+00, -3.10263820e-02
-1.04274356e+00, -3.04080155e-02
-1.04824173e+00, -2.99870353e-02
-1.05948055e+00, -3.23500708e-02
-1.06626296e+00, -2.92321444e-02
-1.07767820e+00, -2.61091869e-02
-1.08717132e+00, -2.69410629e-02
-1.09461868e+00, -2.54220888e-02
-1.10691512e+00, -2.18174569e-02
-1.11691225e+00, -1.98515859e-02
-1.12667429e+00, -1.22246211e-02
-1.13698554e+00, -6.56881416e-03
-1.14705408e+00, 1.20231207e-03
-1.14822590e+00, 1.47702848e-03
-1.15472209e+00, 5.13296481e-03
-1.16326022e+00, 7.84542132e-03
-1.17366242e+00, -9.98023432e-04
-1.18346524e+00, -4.32987511e-02
-1.18394077e+00, -4.68141660e-02
-1.18887317e+00, -8.57382864e-02
-1.19694316e+00, -1.73754200e-01
-1.19814312e+00, -1.84013933e-01
-1.20082045e+00, -2.05666751e-01
-1.20652449e+00, -2.24511862e-01
-1.20978498e+00, -2.22696364e-01
-1.21389627e+00, -2.17697471e-01
-1.21606266e+00, -2.12858111e-01
-1.21784663e+00, -2.07837433e-01
-1.21773326e+00, -2.12403715e-01
-1.21759748e+00, -2.13152096e-01
-1.21737266e+00, -2.08287358e-01
-1.21723914e+00, -2.03830555e-01
-1.21702051e+00, -1.96463600e-01
-1.21691632e+00, -1.94242477e-01
-1.21691430e+00, -1.94198504e-01
-1.21675873e+00, -1.93775922e-01
-1.21665430e+00, -1.95224315e-01
-1.21656346e+00, -1.96478695e-01
-1.21647954e+00, -1.97131187e-01
-1.21641445e+00, -1.96730956e-01
-1.21643639e+00, -1.96786731e-01
-1.21648717e+00, -1.97664529e-01
-1.21671188e+00, -2.04160064e-01
-1.21691585e+00, -2.12881029e-01
-1.21717441e+00, -2.27626562e-01
-1.21754599e+00, -2.89218426e-01
-1.21802485e+00, -3.64397198e-01
-1.21879983e+00, -3.80220115e-01
-1.22012806e+00, -3.50226045e-01
-1.22124994e+00, -3.39175910e-01
-1.22318947e+00, -3.30300272e-01
-1.22377360e+00, -3.29034686e-01
-1.22452998e+00, -3.27464610e-01
-1.22709811e+00, -3.24798524e-01
-1.22947836e+00, -3.31968665e-01
-1.23181915e+00, -3.52285892e-01
-1.23520613e+00, -3.86530429e-01
-1.23804092e+00, -4.25354123e-01
-1.24074876e+00, -4.75532413e-01
-1.24236989e+00, -4.84761000e-01
-1.24329352e+00, -4.84164476e-01
-1.24610639e+00, -4.03344095e-01
-1.24818408e+00, -2.59018421e-01
-1.25076473e+00, -1.65790040e-03
-1.25279784e+00, 1.39862269e-01
-1.25504410e+00, 2.15816513e-01
-1.25761962e+00, 2.34955400e-01
-1.26045549e+00, 2.27735937e-01
-1.26069796e+00, 2.26292595e-01
-1.26326156e+00, 2.10796788e-01
-1.26547909e+00, 2.01108336e-01
-1.26737905e+00, 1.89087927e-01
-1.27070820e+00, 1.71970189e-01
-1.27292883e+00, 1.61699131e-01
-1.27496123e+00, 1.52074397e-01
-1.27786386e+00, 1.41524434e-01
-1.28072798e+00, 1.32434532e-01
-1.28192139e+00, 1.28869027e-01
-1.28293562e+00, 1.25841171e-01
-1.28645229e+00, 1.18522666e-01
-1.28940427e+00, 1.13192655e-01
-1.29253185e+00, 1.10755838e-01
-1.29476798e+00, 1.07532069e-01
-1.29661095e+00, 1.04739733e-01
