"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7904105525,       2.204768053,       1.567689673,       5.135818675
          0,           0,           1,     -0.9730374532,       2.001691683,       1.674841118,       4.955120712
          0,           0,           2,      -1.039528531,       1.929805711,       1.647788127,       4.893539003
          0,           0,           3,      -1.122133736,       1.844775292,       1.577453397,       4.810842677
          0,           0,           4,      -1.171849731,       1.794035704,       1.527923285,       4.756811063
          0,           0,           5,      -1.198056943,       1.766824881,       1.504840963,       4.728882118
          0,           0,           6,       -1.23041223,       1.733833509,       1.474113801,       4.695706897
          0,           0,           7,      -1.258886078,       1.705415202,       1.443098876,       4.665873956
          0,           0,           8,      -1.284089045,       1.679924496,       1.419319605,       4.641385372
          0,           0,           9,      -1.325663651,       1.637889621,       1.376821115,       4.599476562
          0,           0,          10,      -1.380591422,       1.581170198,       1.324929214,       4.544107279
          0,           0,          11,      -1.442663047,       1.516431516,       1.263290319,       4.479721637
          0,           0,          12,      -1.552385572,       1.400111834,       1.160343143,       4.363917162
          0,           0,          13,      -1.587696127,       1.364128827,        1.10836973,       4.321919514
          0,           0,          14,      -1.623412145,       1.324842144,       1.077545227,       4.283183874
          0,           0,          15,      -1.641693113,       1.306283901,       1.047783575,       4.260966273
          0,           0,          16,      -1.657577507,       1.288746536,        1.03641917,       4.244168382
          0,           0,          17,      -1.671335599,       1.274901893,       1.014210758,       4.227862984
          0,           0,          18,      -1.655245853,       1.294630199,       1.023478482,       4.245670235
          0,           0,          19,      -1.718220665,       1.223425743,      0.9719914144,       4.177790697
          0,           0,          20,      -1.749947261,       1.190162124,       0.929905983,       4.142094334
          0,           0,          21,      -1.730225058,        1.21649976,      0.9470233525,       4.167317826
          0,           0,          22,      -1.826846276,       1.105191346,      0.8614134322,       4.059797079
          0,           0,          23,      -1.873457698,        1.05569731,      0.8021733908,       4.007336509
          0,           0,          24,      -1.859041764,        1.08084197,      0.8170722172,       4.031514838
          0,           0,          25,      -1.985578235,      0.9293259218,      0.6962670556,       3.884023367
          0,           0,          26,      -2.057760878,      0.8492328188,      0.6076514064,       3.800574309
          0,           0,          27,      -2.139182232,      0.7567014353,      0.5204487587,       3.707793281
          0,           0,          28,      -2.222430423,      0.6620252003,      0.4303592805,       3.613331397
          0,           0,          29,      -2.306544652,      0.5658009831,       0.336364297,       3.516983068
          0,           0,          30,      -2.390913196,       0.468047642,      0.2410984479,       3.419363765
          0,           0,          31,      -2.475039149,      0.3694597347,      0.1456432969,       3.321509794
          0,           0,          32,      -2.593307072,      0.2292289188,     0.01040203754,       3.183633005
          0,           0,          33,      -2.660038825,      0.1468440339,    -0.06195856905,       3.104555947
          0,           0,          34,      -2.748855912,     0.04149926982,     -0.1666534858,       3.001641762
          0,           0,          35,      -2.798173182,    -0.01744378694,     -0.2224161024,       2.944785568
          0,           0,          36,      -2.867777465,     -0.1002560797,     -0.3038493194,       2.864917396
          0,           0,          37,      -2.967687657,     -0.2203825685,     -0.4196935445,       2.749803502
          0,           0,          38,      -3.022861005,     -0.2853256247,     -0.4821939131,       2.687813978
          0,           0,          39,      -3.101812544,     -0.3769395938,     -0.5732640623,       2.599787506
          0,           0,          40,       -3.21570107,     -0.5083006059,     -0.7035686768,       2.472793695
          0,           0,          41,      -3.279561177,     -0.5786477952,      -0.775038738,       2.404443383
          0,           0,          42,      -3.372411338,     -0.6807022021,     -0.8794568725,       2.304480713
          0,           0,          43,      -3.507790115,     -0.8288556097,      -1.029838143,       2.158150963
          0,           0,          44,      -3.648870031,     -0.9795980583,      -1.183855054,       2.008191273
          0,           0,          45,      -3.854932056,      -1.197082742,       -1.40503835,       1.790774278
          0,           0,          46,      -3.978024255,      -1.322077038,       -1.53433951,       1.665310062
          0,           0,          47,      -4.157831701,      -1.507661939,      -1.723598806,       1.478929777
          0,           0,          48,      -4.416943355,      -1.775132788,      -1.993429904,       1.210298992
          0,           0,          49,      -4.744992963,      -2.074289121,      -2.295786913,      0.9101464453
          0,           0,          50,      -5.115963722,      -2.412623005,      -2.634405698,      0.5701979319
          0,           0,          51,      -5.513732218,      -2.813061238,      -3.026702488,      0.1695148038
          0,           0,          52,      -5.938202002,      -3.241880891,      -3.454562884,     -0.2597159787
          0,           0,          53,      -6.386164772,      -3.690237016,      -3.909788615,     -0.7090848711
          0,           0,          54,      -6.854985328,      -4.157620975,      -4.388033496,      -1.177845422
          0,           0,          55,      -7.342849001,      -4.643671669,      -4.886196448,      -1.665385931
          0,           0,          56,        -7.8481794,      -5.147341897,      -5.401717652,      -2.170499838
          0,           0,          57,      -8.369816179,      -5.667565603,       -5.93292507,      -2.692051941
          0,           0,          58,      -8.907267007,      -6.203822376,      -6.479070282,      -3.229498375
          0,           0,          59,      -9.459715535,      -6.755246888,      -7.039338137,      -3.781980218
          0,           0,          60,      -10.02649559,      -7.321132264,      -7.613125848,      -4.348804141
          0,           0,          61,       -10.6067589,       -7.90060067,       -8.19961898,      -4.929104254
          0,           0,          62,      -11.19983356,      -8.492986642,      -8.798180906,       -5.52222358
          0,           0,          63,       -11.8056939,      -9.098245206,      -9.408833566,      -6.128129387
          0,           0,          64,      -12.42380498,      -9.715799169,      -10.03118386,       -6.74628081
