"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.3347859115,       2.525529224,      -12.78635898,       5.593532204,        6.41263012,       10.25083868
          0,           0,           1,     -0.3207077092,       2.809249137,       2.551657011,       5.631399199,       5.850163365,        9.69143789
          0,           0,           2,     -0.3547749802,       2.780243042,       2.488793156,       5.594073193,       5.297807944,       9.142847187
          0,           0,           3,     -0.3511969193,        2.74550501,        2.40627217,       5.596444465,       4.757360175,       8.606936451
          0,           0,           4,     -0.3384359501,       2.700339662,       2.334881539,       5.613361177,       4.230373692,        8.08530916
          0,           0,           5,     -0.3650894325,       2.645299281,       2.313335349,       5.588547782,       3.718150757,       7.579279855
          0,           0,           6,     -0.4013261063,       2.607059189,       2.287347151,       5.550774693,       3.222338526,       7.090363479
          0,           0,           7,     -0.4371000341,        2.56196733,       2.243841263,       5.514969325,       2.742519103,       6.618386844
          0,           0,           8,     -0.5083509731,       2.482663863,       2.172843059,       5.441415525,       2.282156489,       6.166262998
          0,           0,           9,     -0.6220812323,       2.365550155,       2.068792268,       5.324963963,       1.861229204,       5.746649494
          0,           0,          10,     -0.7682917345,       2.217092237,       1.930239251,       5.174610226,       1.572665092,       5.406074392
          0,           0,          11,     -0.8450248438,       2.136460712,       1.857754658,       5.091716507,       1.569323064,       5.307646461
          0,           0,          12,     -0.9260933772,       2.050363184,       1.774141134,       5.002499815,       1.680316807,       5.306590547
          0,           0,          13,     -0.9832687025,       1.987483294,       1.719821211,       4.941277511,         1.8358919,       5.277887725
          0,           0,          14,      -1.018793756,       1.949184207,       1.684205195,       4.902292331,       1.981558244,       5.240504064
          0,           0,          15,      -1.054261548,        1.91042784,       1.633938033,       4.863234473,       2.169746889,       5.272395749
          0,           0,          16,      -1.073292753,       1.889410486,       1.586030302,       4.841442247,       2.354162584,       5.344602249
          0,           0,          17,      -1.107982266,        1.84812016,       1.548540325,       4.804954042,       2.547525367,       5.344759817
          0,           0,          18,      -1.150049098,       1.800318953,       1.507806265,       4.758907173,       2.540859446,       5.309615194
          0,           0,          19,       -1.21999904,       1.726990629,       1.488987884,       4.685896314,       2.521873624,       5.356874947
          0,           0,          20,      -1.269345798,       1.682842874,       1.464971257,       4.644213327,       2.523616388,        5.30490705
          0,           0,          21,      -1.318419436,       1.635670242,       1.414100242,       4.591340745,        2.52797917,       5.305423101
          0,           0,          22,        -1.3615155,       1.595391302,       1.367722151,       4.548609367,       2.512119835,       5.324889798
          0,           0,          23,      -1.393089587,       1.577445496,       1.332089869,       4.524939974,       2.521535596,       5.328031724
          0,           0,          24,      -1.440264019,        1.53911088,       1.272292304,       4.471605717,       2.492335632,       5.311009046
          0,           0,          25,       -1.49027662,       1.501391512,       1.228307606,       4.417573609,       2.456217092,       5.347996099
          0,           0,          26,      -1.526243453,       1.474356434,       1.181007873,       4.385188766,       2.483392376,       5.331329508
          0,           0,          27,      -1.615665412,       1.398757485,       1.079589212,       4.293979517,       2.463598733,       5.332921901
          0,           0,          28,      -1.657545226,       1.366970021,       1.046833325,       4.271980794,       2.489674155,       5.298164585
          0,           0,          29,      -1.719355761,       1.283336407,       1.010503368,       4.211724913,       2.490217428,       5.297895051
          0,           0,          30,      -1.733920467,       1.308003158,       1.054896718,       4.193836909,       2.527904563,       5.318066753
          0,           0,          31,      -1.641004553,       1.411231607,       1.117746344,       4.284940879,       2.538970538,       5.322936525
          0,           0,          32,      -1.664054418,       1.378667406,       1.078052825,       4.257766117,       2.579742445,        5.32297945
          0,           0,          33,      -1.623955633,       1.403993302,       1.089127763,       4.294992904,       2.618490954,       5.355830764
          0,           0,          34,       -1.52586286,       1.489872277,       1.153799202,       4.397098776,       2.574426027,       5.336433967
          0,           0,          35,      -1.572891904,       1.431652329,       1.130815175,       4.350155213,        2.56661205,       5.336249404
          0,           0,          36,      -1.588654558,       1.419996227,       1.126256691,        4.32896605,       2.547610561,        5.31457096
          0,           0,          37,      -1.611265184,        1.40518525,       1.124614346,       4.311461603,        2.53576447,        5.32552525
          0,           0,          38,      -1.661178395,       1.362463038,       1.117069849,       4.258397735,       2.530277833,       5.347703698
          0,           0,          39,      -1.647340674,       1.377125191,       1.111543912,       4.269125727,       2.524531627,       5.330208435
          0,           0,          40,      -1.724025015,       1.310536829,       1.066902307,       4.196170598,       2.518496201,       5.279551866
          0,           0,          41,      -1.724073642,       1.316367183,       1.055239127,       4.199810707,       2.514793181,       5.319475088
          0,           0,          42,      -1.699144066,       1.337731883,       1.071635394,       4.227427134,       2.505440323,       5.317647383
          0,           0,          43,      -1.746777824,       1.304193664,       1.045377523,       4.179750316,       2.500136887,       5.316800502
          0,           0,          44,      -1.749564293,       1.302482679,       1.047534227,       4.174397671,       2.496411007,       5.331608395
          0,           0,          45,      -1.728286055,       1.324875653,       1.074756755,       4.196633219,       2.472106623,       5.335696384
          0,           0,          46,      -1.767232398,       1.287006033,       1.051291742,       4.165856696,       2.464976068,       5.306796145
          0,           0,          47,      -1.775160813,       1.277344727,       1.050743637,       4.163532864,       2.463816878,       5.340580168
          0,           0,          48,      -1.748986541,       1.301491372,       1.062361109,       4.181774156,        2.43037979,       5.330903114
          0,           0,          49,      -1.773734988,       1.286156644,       1.045262688,       4.156706471,       2.427164242,       5.330270936
          0,           0,          50,      -1.765340085,       1.300259787,       1.045592093,       4.161156719,       2.409621695,       5.342070999
          0,           0,          51,      -1.758085191,       1.308312577,       1.050757863,       4.162092403,       2.394629271,       5.355661304
          0,           0,          52,      -1.766746482,       1.299371427,       1.045475771,       4.169282246,       2.398236856,       5.350433148
          0,           0,          53,      -1.763515214,       1.293672433,       1.048351858,       4.179376456,       2.346388446,       5.347267086
          0,           0,          54,      -1.831598701,       1.236602912,       1.021339206,       4.102987067,       2.342451183,       5.279956354
          0,           0,          55,      -1.831421408,       1.242593614,       1.036505816,       4.097432171,       2.353256517,       5.299967553
          0,           0,          56,      -1.770997966,       1.296557189,       1.042078882,       4.155935963,       2.288747242,       5.337220693
          0,           0,          57,      -1.810536336,       1.261666954,       1.017463884,       4.118739514,       2.281854447,       5.350573744
          0,           0,          58,      -1.832985305,       1.241767438,       1.018218384,        4.09857822,       2.233408747,       5.317377841
          0,           0,          59,      -1.831753162,       1.248568524,       1.031856485,       4.104355823,       2.224776104,       5.322077512
          0,           0,          60,      -1.794879679,       1.278733266,       1.033245738,       4.133936172,       2.125383087,       5.351526485
          0,           0,          61,      -1.819341422,       1.258855346,       1.010756789,       4.104179094,        2.11826061,       5.357407183
          0,           0,          62,      -1.841813176,       1.238402684,       1.015466479,       4.106464955,       2.049179359,       5.321777717
          0,           0,          63,      -1.876854096,       1.201631777,      0.9963049918,       4.078253659,       2.049457873,       5.317473761
          0,           0,          64,      -1.903915863,       1.182990956,        0.99850868,       4.036264855,       2.051776249,       5.305572631
