Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.17683,891660,3,1225.75,0,0,1225.75,-1,0,0,1,101325,1.3608e-15,300,1041.57,0,0,1041.57
1,1.13762,862183,2.93266,1177.32,-0.10081,0,1177.32,5,0,0,5,101191,-0.000963196,309.93,1034.9,-0.0886149,0,1034.9
4,1.30422,982792,2.87857,1335.96,81.5207,0,1338.44,0,0,0,0,118404,0.122855,316.326,1024.34,62.5055,0,1026.24
5,0.919807,703745,3.15644,975.198,-44.6141,0,976.218,3.14,0.000159265,0,3.14,74280.1,-0.194542,281.38,1060.22,-48.5038,0,1061.33
6,1.17683,891660,3,1225.75,0,0,1225.75,-0.98,0,0,0.98,101325,-1.04677e-16,300,1041.57,0,0,1041.57
7,1.17683,891660,3,1225.75,0,0,1225.75,-0.96,0,0,0.96,101325,3.1403e-16,300,1041.57,0,0,1041.57
8,1.17683,891660,3,1225.75,0,0,1225.75,-0.94,0,0,0.94,101325,-2.09353e-16,300,1041.57,0,0,1041.57
9,1.17683,891660,3,1225.75,0,0,1225.75,-0.92,0,0,0.92,101325,4.18706e-16,300,1041.57,0,0,1041.57
10,1.17683,891660,3,1225.75,0,0,1225.75,-0.9,0,0,0.9,101325,7.32736e-16,300,1041.57,0,0,1041.57
11,1.17683,891660,3,1225.75,0,0,1225.75,-0.88,0,0,0.88,101325,1.15144e-15,300,1041.57,0,0,1041.57
12,1.17683,891660,3,1225.75,0,0,1225.75,-0.86,0,0,0.86,101325,0,300,1041.57,0,0,1041.57
13,1.17683,891660,3,1225.75,0,0,1225.75,-0.84,0,0,0.84,101325,1.25612e-15,300,1041.57,0,0,1041.57
14,1.17683,891660,3,1225.75,-1.00974e-29,0,1225.75,-0.82,0,0,0.82,101325,7.32736e-16,300,1041.57,-8.58019e-30,0,1041.57
15,1.17683,891660,3,1225.75,-1.00974e-29,0,1225.75,-0.8,0,0,0.8,101325,2.09353e-15,300,1041.57,-8.58019e-30,0,1041.57
16,1.17683,891660,3,1225.75,0,0,1225.75,-0.78,0,0,0.78,101325,8.37412e-16,300,1041.57,0,0,1041.57
17,1.17683,891660,3,1225.75,0,0,1225.75,-0.76,0,0,0.76,101325,6.28059e-16,300,1041.57,0,0,1041.57
18,1.17683,891660,3,1225.75,0,0,1225.75,-0.74,0,0,0.74,101325,2.09353e-16,300,1041.57,0,0,1041.57
19,1.17683,891660,3,1225.75,0,0,1225.75,-0.72,0,0,0.72,101325,6.28059e-16,300,1041.57,0,0,1041.57
20,1.17683,891660,3,1225.75,0,0,1225.75,-0.7,0,0,0.7,101325,1.04677e-16,300,1041.57,0,0,1041.57
21,1.17683,891660,3,1225.75,0,0,1225.75,-0.68,0,0,0.68,101325,1.3608e-15,300,1041.57,0,0,1041.57
22,1.17683,891660,3,1225.75,0,0,1225.75,-0.66,0,0,0.66,101325,1.67482e-15,300,1041.57,0,0,1041.57
23,1.17683,891660,3,1225.75,0,0,1225.75,-0.64,0,0,0.64,101325,1.67482e-15,300,1041.57,0,0,1041.57
24,1.17683,891660,3,1225.75,0,0,1225.75,-0.62,0,0,0.62,101325,1.25612e-15,300,1041.57,0,0,1041.57
25,1.17683,891660,3,1225.75,0,0,1225.75,-0.6,0,0,0.6,101325,1.67482e-15,300,1041.57,0,0,1041.57
26,1.17683,891660,3,1225.75,0,0,1225.75,-0.58,0,0,0.58,101325,1.3608e-15,300,1041.57,0,0,1041.57
27,1.17683,891660,3,1225.75,0,0,1225.75,-0.56,0,0,0.56,101325,1.15144e-15,300,1041.57,0,0,1041.57
28,1.17683,891660,3,1225.75,0,0,1225.75,-0.54,0,0,0.54,101325,1.88418e-15,300,1041.57,0,0,1041.57
29,1.17683,891660,3,1225.75,0,0,1225.75,-0.52,0,0,0.52,101325,3.1403e-16,300,1041.57,0,0,1041.57
30,1.17683,891660,3,1225.75,0,0,1225.75,-0.5,0,0,0.5,101325,2.19821e-15,300,1041.57,0,0,1041.57
31,1.17683,891660,3,1225.75,0,0,1225.75,-0.48,0,0,0.48,101325,8.37412e-16,300,1041.57,0,0,1041.57
32,1.17683,891660,3,1225.75,0,0,1225.75,-0.46,0,0,0.46,101325,-3.1403e-16,300,1041.57,0,0,1041.57
33,1.17683,891660,3,1225.75,-2.17679e-12,0,1225.75,-0.44,0,0,0.44,101325,6.38527e-15,300,1041.57,-1.84971e-12,0,1041.57
34,1.17683,891660,3,1225.75,0,0,1225.75,-0.42,0,0,0.42,101325,4.60577e-15,300,1041.57,0,0,1041.57
35,1.17683,891660,3,1225.75,0,0,1225.75,-0.4,0,0,0.4,101325,3.97771e-15,300,1041.57,0,0,1041.57
36,1.17683,891660,3,1225.75,0,0,1225.75,-0.38,0,0,0.38,101325,1.3608e-15,300,1041.57,0,0,1041.57
37,1.17683,891660,3,1225.75,0,0,1225.75,-0.36,0,0,0.36,101325,2.72159e-15,300,1041.57,0,0,1041.57
38,1.17683,891660,3,1225.75,-1.00974e-29,0,1225.75,-0.34,0,0,0.34,101325,3.03562e-15,300,1041.57,-8.58019e-30,0,1041.57
39,1.17683,891660,3,1225.75,-1.00974e-29,0,1225.75,-0.32,0,0,0.32,101325,1.7795e-15,300,1041.57,-8.58019e-30,0,1041.57
