# x, curve
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.999833334166665331e-04
2.000000000000000042e-02,1.999866669333308280e-03
2.999999999999999889e-02,2.999550020249566046e-03
4.000000000000000083e-02,3.998933418663416089e-03
5.000000000000000278e-02,4.997916927067833776e-03
5.999999999999999778e-02,5.996400647944460059e-03
7.000000000000000666e-02,6.994284733753276806e-03
8.000000000000000167e-02,7.991469396917269194e-03
8.999999999999999667e-02,8.987854919801105055e-03
1.000000000000000056e-01,9.983341664682815475e-03
1.100000000000000006e-01,1.097783008371748178e-02
1.199999999999999956e-01,1.197122072889193756e-02
1.300000000000000044e-01,1.296341426196948726e-02
1.400000000000000133e-01,1.395431146442364934e-02
1.499999999999999944e-01,1.494381324735992271e-02
1.600000000000000033e-01,1.593182066142459843e-02
1.700000000000000122e-01,1.691823490669960503e-02
1.799999999999999933e-01,1.790295734258241789e-02
1.900000000000000022e-01,1.888588949765005950e-02
2.000000000000000111e-01,1.986693307950612372e-02
2.099999999999999922e-01,2.084598998460995833e-02
2.200000000000000011e-01,2.182296230808693227e-02
2.300000000000000100e-01,2.279775235351884366e-02
2.399999999999999911e-01,2.377026264271345918e-02
2.500000000000000000e-01,2.474039592545229649e-02
2.600000000000000089e-01,2.570805518921551180e-02
2.700000000000000178e-01,2.667314366888311541e-02
2.800000000000000266e-01,2.763556485641137719e-02
2.899999999999999800e-01,2.859522251048355473e-02
2.999999999999999889e-01,2.955202066613395531e-02
3.099999999999999978e-01,3.050586364434434983e-02
3.200000000000000067e-01,3.145665606161177769e-02
3.300000000000000155e-01,3.240430283948683710e-02
3.400000000000000244e-01,3.334870921408144423e-02
3.500000000000000333e-01,3.428978074554513839e-02
3.599999999999999867e-01,3.522742332750899291e-02
3.699999999999999956e-01,3.616154319649619864e-02
3.800000000000000044e-01,3.709204694129827201e-02
3.900000000000000133e-01,3.801884151231614550e-02
4.000000000000000222e-01,3.894183423086505780e-02
4.100000000000000311e-01,3.986093279844230008e-02
4.199999999999999845e-01,4.077604530595702048e-02
4.299999999999999933e-01,4.168708024292108044e-02
4.400000000000000022e-01,4.259394650659996395e-02
4.500000000000000111e-01,4.349655341112302481e-02
4.600000000000000200e-01,4.439481069655198259e-02
4.700000000000000289e-01,4.528862853790683457e-02
4.799999999999999822e-01,4.617791755414829558e-02
4.899999999999999911e-01,4.706258881711580799e-02
5.000000000000000000e-01,4.794255386042030331e-02
5.100000000000000089e-01,4.881772468829075062e-02
5.200000000000000178e-01,4.968801378437368022e-02
5.300000000000000266e-01,5.055333412048469699e-02
5.400000000000000355e-01,5.141359916531132446e-02
5.500000000000000444e-01,5.226872289306592340e-02
5.600000000000000533e-01,5.311861979208834517e-02
5.700000000000000622e-01,5.396320487339693189e-02
5.799999999999999600e-01,5.480239367918735699e-02
5.899999999999999689e-01,5.563610229127838314e-02
5.999999999999999778e-01,5.646424733950353853e-02
6.099999999999999867e-01,5.728674601004812850e-02
6.199999999999999956e-01,5.810351605373051398e-02
6.300000000000000044e-01,5.891447579422695591e-02
6.400000000000000133e-01,5.971954413623921376e-02
6.500000000000000222e-01,6.051864057360395455e-02
6.600000000000000311e-01,6.131168519734338240e-02
6.700000000000000400e-01,6.209859870365597168e-02
6.800000000000000488e-01,6.287930240184685937e-02
6.900000000000000577e-01,6.365371822219680065e-02
7.000000000000000666e-01,6.442176872376911834e-02
7.099999999999999645e-01,6.518337710215366121e-02
7.199999999999999734e-01,6.593846719714731297e-02
7.299999999999999822e-01,6.668696350036978915e-02
7.399999999999999911e-01,6.742879116281451368e-02
7.500000000000000000e-01,6.816387600233340949e-02
7.600000000000000089e-01,6.889214451105513115e-02
7.700000000000000178e-01,6.961352386273567117e-02
7.800000000000000266e-01,7.032794192004102052e-02
7.900000000000000355e-01,7.103532724176078728e-02
8.000000000000000444e-01,7.173560908995228746e-02
8.100000000000000533e-01,7.242871743701426168e-02
8.200000000000000622e-01,7.311458297268959294e-02
8.300000000000000711e-01,7.379313711099627637e-02
8.399999999999999689e-01,7.446431199708593296e-02
8.499999999999999778e-01,7.512804051402927064e-02
8.599999999999999867e-01,7.578425628952770166e-02
8.699999999999999956e-01,7.643289370255051951e-02
8.800000000000000044e-01,7.707388788989694151e-02
8.900000000000000133e-01,7.770717475268239249e-02
9.000000000000000222e-01,7.833269096274834975e-02
9.100000000000000311e-01,7.895037396899505511e-02
9.200000000000000400e-01,7.956016200363660862e-02
9.300000000000000488e-01,8.016199408837772211e-02
9.400000000000000577e-01,8.075581004051143874e-02
9.500000000000000666e-01,8.134155047893737445e-02
9.599999999999999645e-01,8.191915683009982907e-02
9.699999999999999734e-01,8.248857133384501772e-02
9.799999999999999822e-01,8.304973704919704769e-02
9.899999999999999911e-01,8.360259786005205807e-02
1.000000000000000000e+00,8.414709848078966159e-02
1.010000000000000009e+00,8.468318446180152226e-02
1.020000000000000018e+00,8.521080219493630536e-02
1.030000000000000027e+00,8.572989891886034775e-02
1.040000000000000036e+00,8.624042272433385392e-02
1.050000000000000044e+00,8.674232255940170222e-02
1.060000000000000053e+00,8.723554823449863882e-02
1.070000000000000062e+00,8.772005042746816583e-02
1.080000000000000071e+00,8.819578068849476260e-02
1.090000000000000080e+00,8.866269144494873244e-02
1.100000000000000089e+00,8.912073600614354996e-02
1.110000000000000098e+00,8.956986856800476515e-02
1.120000000000000107e+00,9.001004421765051999e-02
1.130000000000000115e+00,9.044121893788259481e-02
1.140000000000000124e+00,9.086334961158833157e-02
1.150000000000000133e+00,9.127639402605211560e-02
1.159999999999999920e+00,9.168031087717669336e-02
1.169999999999999929e+00,9.207505977361357674e-02
1.179999999999999938e+00,9.246060124080203446e-02
1.189999999999999947e+00,9.283689672491667044e-02
1.199999999999999956e+00,9.320390859672263162e-02
1.209999999999999964e+00,9.356160015533859786e-02
1.219999999999999973e+00,9.390993563190676297e-02
1.229999999999999982e+00,9.424888019316975118e-02
1.239999999999999991e+00,9.457839994495390035e-02
1.250000000000000000e+00,9.489846193555862008e-02
1.260000000000000009e+00,9.520903415905157541e-02
1.270000000000000018e+00,9.551008555846923764e-02
1.280000000000000027e+00,9.580158602892249742e-02
1.290000000000000036e+00,9.608350642060727032e-02
1.300000000000000044e+00,9.635581854171930416e-02
1.310000000000000053e+00,9.661849516127340998e-02
1.320000000000000062e+00,9.687151001182653376e-02
1.330000000000000071e+00,9.711483779210446088e-02
