"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.3338041347,       2.846597242,      0.4156013493,       5.747249389
          0,           0,           1,     -0.5977563337,       2.654940156,       1.095154643,       5.554815289
          0,           0,           2,     -0.7333029296,       2.489027185,      0.9559864633,       5.389625927
          0,           0,           3,     -0.7282156273,       2.401387244,      0.8821145508,        5.30762259
          0,           0,           4,     -0.7001917722,       2.373175259,      0.8395962975,       5.286708718
          0,           0,           5,     -0.7134693478,       2.346602026,      0.7938739722,       5.260414362
          0,           0,           6,     -0.7315094884,       2.317828044,      0.7473066709,       5.233913241
          0,           0,           7,     -0.7431636135,       2.289808257,      0.7009741591,       5.208935492
          0,           0,           8,     -0.7611428085,        2.25898877,      0.6574882709,       5.180177948
          0,           0,           9,     -0.7853908457,        2.22246999,      0.6134616749,       5.145522103
          0,           0,          10,     -0.8186236112,       2.174586352,      0.5781603105,       5.099305541
          0,           0,          11,     -0.8280943373,       2.142461017,      0.5827590913,       5.069235468
          0,           0,          12,     -0.8455434992,       2.098803581,      0.5945619777,       5.026588574
          0,           0,          13,     -0.8428681665,       2.085974705,       0.614016746,       5.014714835
          0,           0,          14,     -0.8451913682,       2.065438875,      0.6297390169,       4.995918003
          0,           0,          15,     -0.8543311654,       2.041805166,      0.6472813563,        4.97359434
          0,           0,          16,     -0.8530436342,        2.03944949,      0.6677318991,       4.971448105
          0,           0,          17,     -0.8611612034,        2.03240333,      0.6865424343,       4.964487726
          0,           0,          18,     -0.8826486991,       2.016641635,      0.7031026814,       4.949156165
          0,           0,          19,     -0.8876311323,        2.01347455,      0.7180053061,       4.946234658
          0,           0,          20,     -0.8994916295,       2.005231976,      0.7348969502,       4.937906401
          0,           0,          21,     -0.9022959736,        2.00386695,      0.7489448422,       4.936113839
          0,           0,          22,     -0.9104559202,       1.999075585,      0.7646511964,       4.930687849
          0,           0,          23,     -0.9270647118,       1.988143219,      0.7851813582,       4.918979323
          0,           0,          24,     -0.9312972174,       1.985585564,      0.8012214137,       4.915812269
          0,           0,          25,     -0.9408824296,       1.979669818,      0.8209158813,       4.908901496
          0,           0,          26,     -0.9435044815,       1.978452824,      0.8336864482,       4.906902265
          0,           0,          27,     -0.9499191091,       1.974971102,      0.8484504807,       4.902488143
          0,           0,          28,      -0.960988342,       1.967769201,      0.8658561136,       4.894443745
          0,           0,          29,     -0.9621492085,       1.966517108,      0.8767815434,       4.892674626
          0,           0,          30,     -0.9638672018,       1.963967762,      0.8883357318,       4.889662949
          0,           0,          31,     -0.9670854625,       1.958945628,      0.8992338368,       4.884329301
          0,           0,          32,     -0.9634869299,       1.959556783,       0.907924466,       4.884560142
          0,           0,          33,     -0.9617320826,       1.958159556,      0.9166483722,       4.883000544
          0,           0,          34,     -0.9583116564,       1.958902105,      0.9239227039,       4.883572328
          0,           0,          35,     -0.9570147719,       1.957452422,      0.9308328207,       4.882317821
          0,           0,          36,     -0.9623699672,       1.949730328,      0.9327371977,       4.875773062
          0,           0,          37,     -0.9626188147,       1.946708987,      0.9386672457,       4.873400752
          0,           0,          38,     -0.9668440684,       1.938541514,      0.9438565995,       4.866721017
          0,           0,          39,     -0.9802496932,        1.91858917,      0.9466362736,       4.849834241
          0,           0,          40,     -0.9840666109,        1.90847565,      0.9543039219,       4.841367729
