# x, Curve, Cp
0.000000000000000000e+00,0.000000000000000000e+00,2.233512092058199602e-03
5.172759999999999581e-01,5.659999999999999884e-04,4.529900597461208010e-03
2.035581999999999780e+00,8.949000000000000357e-03,1.844733353670884382e-02
4.457614999999999661e+00,4.442399999999999821e-02,4.260852529811020445e-02
7.631757000000000346e+00,1.366060000000000052e-01,7.854351442117270266e-02
1.136675499999999950e+01,3.219509999999999872e-01,1.285459929944511304e-01
1.545008600000000065e+01,6.394079999999999764e-01,1.957777063550222851e-01
1.966811900000000080e+01,1.125650000000000039e+00,2.842530200024775966e-01
2.382597000000000165e+01,1.810416000000000025e+00,3.984454835924358118e-01
2.776501100000000122e+01,2.712457000000000118e+00,5.419477151458400588e-01
3.137623900000000177e+01,3.836505999999999972e+00,7.143998161141555947e-01
3.460812599999999861e+01,5.171624000000000443e+00,9.065097485164324009e-01
3.746818900000000241e+01,6.691093000000000401e+00,1.095819144837630432e+00
4.001814499999999697e+01,8.353885999999999257e+00,1.249318621792043116e+00
4.236321699999999879e+01,1.010758099999999970e+01,1.335214069584904628e+00
4.463675299999999879e+01,1.189241900000000030e+01,1.335214069584905738e+00
4.698182500000000061e+01,1.364611400000000074e+01,1.249318312364388062e+00
4.953178299999999723e+01,1.530890699999999960e+01,1.095818469469509671e+00
5.239184800000000308e+01,1.682837599999999867e+01,9.065091320318195978e-01
5.562373800000000301e+01,1.816349400000000003e+01,7.143992271743427880e-01
5.923496899999999954e+01,1.928754299999999944e+01,5.419472974835235490e-01
6.317401300000000219e+01,2.018958399999999997e+01,3.984452230912378656e-01
6.733186600000000510e+01,2.087434999999999974e+01,2.842528430567581865e-01
7.154990300000000047e+01,2.136059200000000047e+01,1.957775348479660338e-01
7.563323699999999405e+01,2.167804900000000146e+01,1.285458961688924484e-01
7.936823800000000517e+01,2.186339399999999955e+01,7.854345513230577558e-02
8.254238200000000347e+01,2.195557600000000065e+01,4.260849655281138959e-02
8.496441699999999742e+01,2.199105099999999879e+01,1.844732038179306560e-02
8.648272299999999291e+01,2.199943400000000082e+01,4.529900688149802665e-03
8.700000000000000000e+01,2.200000000000000000e+01,2.233507774232348832e-03
