[Name]
Series 1 at Polyline1000

[Data]
Z [ m ],Pressure Coefficient
1.84944347e-01, -6.23130240e-03
1.87793016e-01, -5.34357363e-03
1.89898804e-01, -4.50709555e-03
1.90695882e-01, -3.65787814e-03
1.90891638e-01, -3.65610141e-03
1.90431058e-01, -3.51352943e-03
1.88921005e-01, -3.92186688e-03
1.87087089e-01, -5.41686313e-03
1.84613317e-01, -6.78108633e-03
1.80417523e-01, -7.32922833e-03
1.75252914e-01, -7.76305236e-03
1.70431018e-01, -8.40518903e-03
1.64944097e-01, -9.18216258e-03
1.59251124e-01, -1.01076625e-02
1.51372463e-01, -1.30261155e-02
1.42925233e-01, -1.74348019e-02
1.34004474e-01, -2.20792536e-02
1.24682896e-01, -2.58803982e-02
1.15516275e-01, -2.85779163e-02
1.14481829e-01, -2.89159231e-02
1.06696635e-01, -3.07544265e-02
1.03486300e-01, -3.15059088e-02
9.77015346e-02, -3.20105702e-02
9.25832242e-02, -3.17408592e-02
8.86742920e-02, -3.13144699e-02
8.20225030e-02, -2.94012688e-02
7.97423124e-02, -2.86299307e-02
7.20383525e-02, -2.52549108e-02
7.14527220e-02, -2.50383690e-02
6.13558926e-02, -2.07675323e-02
5.51941097e-02, -1.78374425e-02
4.67406586e-02, -1.49410274e-02
4.21288498e-02, -1.20190168e-02
3.52934413e-02, -5.78501681e-03
3.15542370e-02, -3.14940559e-03
2.61084307e-02, -5.86946029e-04
2.25658454e-02, 2.45865644e-03
2.00551990e-02, 4.66793682e-03
1.86312646e-02, 4.36942885e-03
1.86164360e-02, 4.32471931e-03
1.81848668e-02, 4.07560356e-03
1.82015914e-02, 5.60984062e-03
1.91799849e-02, 6.72882982e-03
2.08280124e-02, 6.54414296e-03
2.26984266e-02, 4.33662860e-03
2.63330229e-02, 4.05388098e-04
3.10145561e-02, -3.20402021e-03
3.47420275e-02, -5.42710535e-03
4.02029268e-02, -9.78118088e-03
4.70673740e-02, -1.47817563e-02
5.22691309e-02, -1.73348878e-02
6.11260273e-02, -2.23502442e-02
6.29456863e-02, -2.32438575e-02
6.72061145e-02, -2.53875665e-02
7.51501620e-02, -2.76666339e-02
8.52889568e-02, -2.80026682e-02
9.63962525e-02, -2.75903065e-02
1.05739385e-01, -2.71086693e-02
1.10515565e-01, -2.62011215e-02
1.15375146e-01, -2.55188383e-02
1.23793244e-01, -2.38304753e-02
1.24383479e-01, -2.36576684e-02
1.35814697e-01, -1.97426789e-02
1.42893434e-01, -1.71951205e-02
1.51936248e-01, -1.35509092e-02
1.57638431e-01, -1.11683747e-02
1.65938079e-01, -8.26683827e-03
1.70367569e-01, -7.14567956e-03
1.70975268e-01, -7.01842410e-03
1.77260935e-01, -6.54328382e-03
1.82223290e-01, -6.32936601e-03
1.82900146e-01, -6.33930694e-03


