[Name]
Series 1 at /POLYLINE:Polylinecp1000

[Data]
Y [ m ],Pressure Coefficient
5.03493138e-02, -1.70105677e-02
4.22627032e-02, -9.25544091e-03
3.43585163e-02, -6.06228877e-03
2.57890467e-02, -4.26250836e-03
1.65318996e-02, -3.53948958e-03
7.69929308e-03, -3.12875398e-03
4.95818723e-03, -3.34116537e-03
-4.23699501e-04, -3.28937476e-03
-7.78894033e-03, -3.34712770e-03
-9.08691436e-03, -3.28463945e-03
-1.90193355e-02, -3.68369836e-03
-2.97885183e-02, -4.82050981e-03
-4.01654392e-02, -5.31869009e-03
-4.75348607e-02, -6.54313713e-03
-5.40363863e-02, -7.51381135e-03
-6.23171665e-02, -9.45182145e-03
-6.71455115e-02, -1.11077093e-02
-7.30803087e-02, -1.48840919e-02
-7.83984736e-02, -1.92688126e-02
-7.99444094e-02, -2.07767617e-02
-8.16534609e-02, -2.27084346e-02
-8.40079039e-02, -2.59400122e-02
-8.46880004e-02, -2.70154867e-02
-8.60284269e-02, -2.94163879e-02
-8.62055570e-02, -2.96884831e-02
-8.68087858e-02, -3.04817129e-02
-8.62985253e-02, -3.02376002e-02
-8.45084563e-02, -2.87835374e-02
-8.20075199e-02, -2.72511169e-02
-8.05273801e-02, -2.56409124e-02
-7.88444430e-02, -2.34132223e-02
-7.48524219e-02, -1.86210033e-02
-6.92778453e-02, -1.27249863e-02
-6.51882887e-02, -1.08655179e-02
-5.72164729e-02, -6.62241038e-03
-4.80601192e-02, -6.11438241e-04
-3.80340815e-02, 2.84430198e-03
-2.75647361e-02, 5.81588456e-03
-1.96671188e-02, 7.62970187e-03
-8.70624557e-03, 8.85089114e-03
-2.60723196e-03, 8.07551108e-03
-7.59702176e-04, 7.77531415e-03
4.82002739e-03, 7.07084872e-03
1.37873162e-02, 6.74614310e-03
2.17881482e-02, 7.13948254e-03
3.00092902e-02, 4.75152070e-03
3.91299240e-02, 5.74327016e-04
4.46311012e-02, -1.51620712e-03
5.31155840e-02, -7.00649060e-03
6.06158525e-02, -1.28533673e-02
6.80902451e-02, -1.59580726e-02
7.19471052e-02, -1.71499457e-02
7.71290511e-02, -2.09770836e-02
8.14601704e-02, -2.37473175e-02
8.15642923e-02, -2.38049123e-02
8.40989500e-02, -2.54845880e-02
8.51034075e-02, -2.64974330e-02
8.57411847e-02, -2.65295599e-02
8.67188349e-02, -2.62778569e-02
8.66562650e-02, -2.36939248e-02
8.54624361e-02, -1.95168182e-02
8.34052712e-02, -1.62638221e-02
8.32525119e-02, -1.60422586e-02
8.10165107e-02, -1.26723833e-02
8.00685585e-02, -1.17536560e-02
7.77212083e-02, -1.21285636e-02
7.51787424e-02, -1.51285175e-02
7.40155578e-02, -1.72351021e-02
6.89134523e-02, -2.82651018e-02
6.22752383e-02, -3.13615650e-02
5.59188984e-02, -2.34537721e-02
5.05122170e-02, -1.72020979e-02


