[Name]
Series 1 at /POLYLINE:Polyline 2

[Data]
Y [ m ],Pressure Coefficient
6.36228621e-02, -2.88619190e-01
6.69386163e-02, -3.10705662e-01
6.86941892e-02, -3.22043419e-01
7.14443773e-02, -3.35955083e-01
7.22996294e-02, -3.37967873e-01
7.29201436e-02, -3.39404941e-01
7.51898438e-02, -3.39864016e-01
7.72755817e-02, -3.36118728e-01
7.90461227e-02, -3.31207752e-01
7.92178214e-02, -3.30250621e-01
8.02629665e-02, -3.22456121e-01
8.11491981e-02, -3.11893016e-01
8.12565908e-02, -3.10330331e-01
8.20970684e-02, -2.94070423e-01
8.25891718e-02, -2.78159410e-01
8.26966017e-02, -2.66518652e-01
8.25469568e-02, -2.44546488e-01
8.22678059e-02, -2.35060558e-01
8.22584778e-02, -2.34749570e-01
8.13452527e-02, -2.16640472e-01
8.05535391e-02, -2.09560931e-01
7.95541853e-02, -2.04312474e-01
7.83718154e-02, -1.95760369e-01
7.76468441e-02, -1.87081546e-01
7.73510486e-02, -1.81446791e-01
7.72615448e-02, -1.79583907e-01
7.68962353e-02, -1.66658953e-01
7.67970383e-02, -1.58409506e-01
7.75353611e-02, -1.46702379e-01
7.87560791e-02, -1.30900964e-01
8.03610533e-02, -1.09199472e-01
8.17024186e-02, -9.39804912e-02
8.31139386e-02, -8.03488791e-02
8.48510638e-02, -6.48632348e-02
8.61020535e-02, -5.49541563e-02
8.63760114e-02, -5.21248318e-02
8.67530704e-02, -4.83999625e-02
8.68169963e-02, -4.60057110e-02
8.65551159e-02, -4.40672562e-02
8.62361193e-02, -4.33238298e-02
8.53205174e-02, -4.24678922e-02
8.38773996e-02, -4.18935865e-02
8.36244300e-02, -4.14119959e-02
8.03759769e-02, -3.32078934e-02
7.62781054e-02, -2.63435226e-02
7.25992024e-02, -2.08823700e-02
6.49494156e-02, -1.33159738e-02
5.96208684e-02, -9.56919137e-03
5.31913415e-02, -7.40137137e-03
4.43305261e-02, -1.54991914e-03
3.45227830e-02, 6.28562365e-03
2.29878761e-02, 8.84702429e-03
1.20388959e-02, 6.89239195e-03
1.18462723e-02, 6.92943158e-03
4.68470575e-03, 9.22210049e-03
-2.08927528e-03, 1.19879348e-02
-3.38093285e-03, 1.22444043e-02
-1.27554731e-02, 1.07831256e-02
-2.23673843e-02, 7.11426605e-03
-3.17178965e-02, 2.71472707e-03
-4.08726521e-02, -9.80864163e-04
-4.74846624e-02, -3.93042155e-03
-5.38939238e-02, -7.55214645e-03
-6.17128909e-02, -1.26386862e-02
-6.85433596e-02, -1.78260077e-02
-7.41055012e-02, -2.19509490e-02
-7.45019317e-02, -2.22606640e-02
-7.83267692e-02, -2.54737549e-02
-7.96044916e-02, -2.69623175e-02
-8.17158297e-02, -2.95412485e-02
-8.34044218e-02, -3.17714363e-02
-8.40487033e-02, -3.24312672e-02
-8.53539407e-02, -3.35869603e-02
-8.63353685e-02, -3.37513760e-02
-8.68311152e-02, -3.37094441e-02
-8.65220353e-02, -3.23717222e-02
-8.51278529e-02, -2.97998860e-02
-8.25402737e-02, -2.67237350e-02
-7.86523372e-02, -2.39917245e-02
-7.84810409e-02, -2.38966253e-02
-7.36664757e-02, -2.29532737e-02
-7.32969493e-02, -2.28892583e-02
-6.77364767e-02, -2.03277990e-02
-6.00427091e-02, -1.49698239e-02
-5.38618118e-02, -1.32973827e-02
-4.64228392e-02, -1.39110126e-02
-3.68594751e-02, -1.54790459e-02
-2.68745907e-02, -1.72600187e-02
-1.85218565e-02, -2.00930238e-02
-1.43270753e-02, -2.23395247e-02
-5.46432380e-03, -2.82904692e-02
6.73181564e-03, -4.38003242e-02
1.52805140e-02, -6.23084530e-02
2.20398549e-02, -8.19138065e-02
2.61404011e-02, -9.68450904e-02
3.00202668e-02, -1.13798708e-01
3.42787802e-02, -1.37568608e-01
3.66308391e-02, -1.52768821e-01
3.98039147e-02, -1.74539298e-01
4.08803597e-02, -1.83887511e-01
4.18027900e-02, -1.90269187e-01
4.47694324e-02, -2.05135375e-01
4.66079526e-02, -2.13214397e-01
4.90539521e-02, -2.22519279e-01
5.17526045e-02, -2.30205685e-01
5.40552475e-02, -2.37443551e-01
5.46461269e-02, -2.39300698e-01
5.58893681e-02, -2.44008109e-01
5.74427545e-02, -2.52153933e-01
5.99921159e-02, -2.65905082e-01
6.19718432e-02, -2.78049469e-01


